jd,mag,uncertainty
2459485.281372,9.6168,0.0143
2459485.281453,9.5985,0.0141
2459485.281545,9.6494,0.0144
2459485.281707,9.6232,0.014
2459485.2818,9.6433,0.0141
2459485.281881,9.6224,0.0142
2459485.281962,9.6424,0.0143
2459485.282054,9.6649,0.0143
2459485.282135,9.6033,0.0141
2459485.282216,9.627,0.0142
2459485.282309,9.6178,0.014
2459485.28239,9.6232,0.0142
2459485.282471,9.6509,0.0142
2459485.282645,9.6307,0.0139
2459485.282818,9.5855,0.0139
2459485.28298,9.6245,0.0139
2459485.283073,9.6003,0.0136
2459485.283154,9.6078,0.0138
2459485.283235,9.6134,0.0139
2459485.283582,9.6241,0.0138
2459485.283663,9.6454,0.0137
2459485.283837,9.6501,0.0137
2459485.283918,9.6081,0.0137
2459485.283999,9.6211,0.0137
2459485.284172,9.6156,0.0136
2459485.284265,9.6303,0.0137
2459485.284346,9.6546,0.0136
2459485.284427,9.5936,0.0134
2459485.284682,9.618,0.0134
2459485.285029,9.6107,0.0134
2459485.285712,9.6067,0.0134
2459485.285793,9.6361,0.0133
2459485.286476,9.6254,0.0133
2459485.286557,9.6061,0.0132
2459485.28673,9.6468,0.0134
2459485.286823,9.6026,0.0132
2459485.28724,9.6026,0.0132
2459485.287413,9.5972,0.0132
2459485.287494,9.6069,0.0131
2459485.287587,9.602,0.0132
2459485.287668,9.6204,0.0131
2459485.287749,9.6241,0.0133
2459485.288258,9.5749,0.013
2459485.288351,9.6023,0.0131
2459485.288432,9.6018,0.0131
2459485.288524,9.5945,0.0131
2459485.288686,9.594,0.0131
2459485.288779,9.5755,0.013
2459485.288953,9.6132,0.013
2459485.289207,9.5977,0.0131
2459485.289288,9.5553,0.013
2459485.289381,9.5908,0.013
2459485.289462,9.5831,0.0131
2459485.289716,9.5664,0.0129
2459485.289797,9.5549,0.0129
2459485.289971,9.5514,0.013
2459485.290052,9.6115,0.0129
2459485.290145,9.5744,0.0131
2459485.290226,9.5436,0.013
2459485.290307,9.5437,0.0129
2459485.290399,9.6025,0.013
2459485.29048,9.5661,0.013
2459485.290573,9.5748,0.013
2459485.290654,9.5524,0.0129
2459485.290735,9.5575,0.013
2459485.290828,9.5986,0.0129
2459485.290909,9.5431,0.0129
2459485.291001,9.5538,0.0131
2459485.291175,9.5438,0.0129
2459485.291256,9.5566,0.0128
2459485.291348,9.5617,0.0129
2459485.291429,9.5869,0.0129
2459485.29151,9.5742,0.0129
2459485.291603,9.542,0.013
2459485.291684,9.5552,0.0128
2459485.291765,9.5594,0.0129
2459485.292112,9.5626,0.0128
2459485.292286,9.5704,0.0128
2459485.292795,9.5611,0.0126
2459485.292876,9.5837,0.013
2459485.292957,9.5243,0.0128
2459485.29305,9.58,0.0129
2459485.293131,9.5582,0.0128
2459485.293385,9.5392,0.0125
2459485.293478,9.54,0.0126
2459485.29364,9.5916,0.0128
2459485.293733,9.5781,0.0128
2459485.293987,9.5768,0.0128
2459485.294068,9.5416,0.0126
2459485.294149,9.5404,0.0126
2459485.294323,9.5389,0.0126
2459485.294497,9.5401,0.0127
2459485.294578,9.5919,0.0126
2459485.294751,9.5325,0.0124
2459485.295434,9.5734,0.0127
2459485.295515,9.5723,0.0128
2459485.295596,9.5271,0.0126
2459485.295689,9.5666,0.0127
2459485.29577,9.5258,0.0126
2459485.295862,9.552,0.0127
2459485.295943,9.5386,0.0126
2459485.296024,9.5076,0.0126
2459485.296117,9.5927,0.0127
2459485.296279,9.571,0.0126
2459485.296372,9.6055,0.0128
2459485.296453,9.553,0.0126
2459485.296534,9.574,0.0126
2459485.296626,9.5297,0.0126
2459485.296707,9.5879,0.0125
2459485.296788,9.5758,0.0126
2459485.296881,9.5041,0.0124
2459485.296962,9.5195,0.0125
2459485.297135,9.5364,0.0127
2459485.297216,9.5377,0.0125
2459485.297899,9.5494,0.0126
2459485.29798,9.5088,0.0124
2459485.298073,9.5281,0.0123
2459485.298663,9.5325,0.0124
2459485.298837,9.5254,0.0125
2459485.29901,9.5381,0.0124
2459485.299184,9.5147,0.0124
2459485.299346,9.5049,0.0123
2459485.299439,9.4821,0.0123
2459485.299693,9.4916,0.0122
2459485.300122,9.4968,0.0123
2459485.300284,9.4924,0.0123
2459485.300712,9.4742,0.0121
2459485.300793,9.4564,0.0123
2459485.301314,9.4782,0.0121
2459485.301568,9.4813,0.0123
2459485.301649,9.4622,0.012
2459485.30173,9.4936,0.0122
2459485.301823,9.4855,0.0122
2459485.301904,9.5035,0.0121
2459485.301997,9.4976,0.0122
2459485.302159,9.5051,0.0121
2459485.302251,9.5081,0.0122
2459485.302332,9.4563,0.0121
2459485.302413,9.4834,0.0122
2459485.302506,9.5118,0.0121
2459485.302679,9.4938,0.0121
2459485.303015,9.4647,0.0121
2459485.303096,9.4606,0.0121
2459485.303189,9.4825,0.0122
2459485.303362,9.5175,0.0122
2459485.303443,9.4702,0.0121
2459485.303617,9.4635,0.0121
2459485.303791,9.4135,0.0119
2459485.303953,9.4648,0.012
2459485.304219,9.4499,0.0122
2459485.304809,9.4784,0.012
2459485.305064,9.3992,0.012
2459485.305156,9.4569,0.012
2459485.305237,9.4011,0.012
2459485.305492,9.425,0.0119
2459485.305839,9.4922,0.0119
2459485.306175,9.4115,0.0119
2459485.306348,9.4542,0.0119
2459485.306429,9.4255,0.0118
2459485.306522,9.4337,0.012
2459485.306939,9.4399,0.012
2459485.307622,9.3972,0.0117
2459485.307714,9.406,0.012
2459485.307795,9.4169,0.0119
2459485.307876,9.4296,0.012
2459485.307969,9.4288,0.0119
2459485.30805,9.3692,0.0119
2459485.308131,9.435,0.0119
2459485.308304,9.3852,0.0119
2459485.308385,9.4189,0.0119
2459485.308559,9.4199,0.0119
2459485.308652,9.3931,0.0118
2459485.308733,9.4003,0.0117
2459485.308906,9.374,0.0116
2459485.309844,9.3512,0.0116
2459485.310446,9.355,0.0117
2459485.310527,9.3417,0.0116
2459485.310862,9.3651,0.0116
2459485.311302,9.3586,0.0117
2459485.311383,9.3346,0.0116
2459485.311464,9.3698,0.0117
2459485.311973,9.3284,0.0115
2459485.312228,9.3422,0.0117
2459485.312402,9.384,0.0115
2459485.312494,9.3356,0.0114
2459485.312575,9.3144,0.0116
2459485.312656,9.3345,0.0116
2459485.312749,9.3437,0.0116
2459485.312911,9.3541,0.0115
2459485.313003,9.3902,0.0116
2459485.313177,9.3452,0.0115
