jd,mag,uncertainty
2458827.195874,9.7218,0.0224
2458827.195966,9.697,0.0225
2458827.196047,9.6893,0.0223
2458827.19614,9.7259,0.0217
2458827.196233,9.7604,0.0218
2458827.196314,9.69,0.0219
2458827.196406,9.6521,0.0218
2458827.196499,9.7015,0.0212
2458827.196591,9.6641,0.0217
2458827.196672,9.7074,0.0213
2458827.196765,9.6758,0.0213
2458827.196858,9.7211,0.0209
2458827.19695,9.6681,0.0209
2458827.197031,9.7059,0.0209
2458827.197124,9.6553,0.0207
2458827.197216,9.7052,0.0214
2458827.197309,9.6847,0.0209
2458827.19739,9.6668,0.0205
2458827.197483,9.689,0.0207
2458827.197575,9.6858,0.0208
2458827.197668,9.6253,0.0207
2458827.197749,9.6858,0.0201
2458827.197841,9.7337,0.0206
2458827.197934,9.7044,0.0246
2458827.198108,9.6689,0.0256
2458827.1982,9.6586,0.0214
2458827.198293,9.6825,0.0238
2458827.198385,9.6464,0.0201
2458827.198466,9.6964,0.0239
2458827.198559,9.66,0.0194
2458827.198652,9.6221,0.0197
2458827.198733,9.6828,0.0197
2458827.198825,9.6819,0.0196
2458827.198918,9.7007,0.0196
2458827.19901,9.6988,0.0199
2458827.199184,9.6775,0.02
2458827.199277,9.7408,0.0197
2458827.199369,9.6776,0.019
2458827.19945,9.704,0.0215
2458827.199543,9.6822,0.0192
2458827.199635,9.7254,0.0193
2458827.199728,9.6552,0.0194
2458827.199809,9.6856,0.0191
2458827.199902,9.731,0.0209
2458827.199994,9.6929,0.0219
2458827.200087,9.6604,0.0192
2458827.200168,9.6928,0.0191
2458827.20026,9.6931,0.0187
2458827.200353,9.6675,0.0193
2458827.200434,9.6936,0.0185
2458827.200527,9.6679,0.0189
2458827.200619,9.6646,0.0187
2458827.200712,9.6587,0.0192
2458827.200793,9.7086,0.0189
2458827.200885,9.6624,0.0192
2458827.200978,9.6761,0.0187
2458827.201059,9.6901,0.0188
2458827.201152,9.6792,0.019
2458827.201244,9.7106,0.0187
2458827.201337,9.6637,0.0189
2458827.201429,9.7222,0.0189
2458827.20151,9.738,0.0183
2458827.201603,9.6306,0.0188
2458827.201696,9.6735,0.0189
2458827.201788,9.6292,0.0185
2458827.201869,9.6877,0.0187
2458827.201962,9.6622,0.0185
2458827.202054,9.7188,0.0178
2458827.202147,9.6767,0.0181
2458827.202228,9.6953,0.018
2458827.202321,9.6554,0.018
2458827.202413,9.6284,0.0177
2458827.202506,9.6972,0.0183
2458827.202598,9.6706,0.0183
2458827.202679,9.6924,0.0178
2458827.202772,9.7017,0.0176
2458827.202865,9.6967,0.0182
2458827.202946,9.6705,0.0176
2458827.203038,9.6796,0.0178
2458827.203131,9.6866,0.0181
2458827.203223,9.6833,0.0177
2458827.203304,9.6665,0.0175
2458827.203397,9.6317,0.0182
2458827.20349,9.6764,0.0175
2458827.203582,9.6782,0.0179
2458827.203663,9.674,0.0172
2458827.203756,9.6393,0.0178
2458827.203848,9.651,0.0177
2458827.203941,9.695,0.0174
2458827.204207,9.6961,0.0179
2458827.2043,9.7451,0.0172
2458827.204392,9.7106,0.0172
2458827.204485,9.6984,0.0174
2458827.204578,9.7087,0.0173
2458827.204659,9.7387,0.0176
2458827.204751,9.6813,0.0175
2458827.204844,9.7264,0.0169
2458827.204936,9.7266,0.017
2458827.205029,9.6951,0.0171
2458827.205122,9.7193,0.017
2458827.205203,9.7087,0.0175
2458827.205295,9.6884,0.0172
2458827.205388,9.6904,0.0169
2458827.20548,9.7574,0.017
2458827.205561,9.6576,0.017
2458827.205654,9.7146,0.0173
2458827.205747,9.6818,0.0171
2458827.205839,9.6941,0.0176
2458827.205932,9.7174,0.0167
2458827.206013,9.6865,0.0172
2458827.206105,9.7284,0.0169
2458827.206198,9.7154,0.0173
2458827.206291,9.7428,0.0172
2458827.206383,9.7084,0.0171
2458827.206464,9.6897,0.0172
2458827.206557,9.6691,0.0174
2458827.206649,9.7225,0.0168
2458827.206742,9.7034,0.0171
2458827.206834,9.708,0.0174
2458827.206916,9.7153,0.0173
2458827.207008,9.6967,0.0171
2458827.207101,9.7234,0.0173
2458827.207193,9.7024,0.0172
2458827.207286,9.7309,0.0166
2458827.207367,9.73,0.0171
2458827.207459,9.7069,0.017
2458827.207552,9.7208,0.0167
2458827.207645,9.6941,0.0172
2458827.207726,9.6868,0.0172
2458827.207818,9.7429,0.0169
2458827.207911,9.7154,0.0172
2458827.208003,9.7182,0.0172
2458827.208096,9.7002,0.0166
2458827.208189,9.7338,0.0166
2458827.20827,9.716,0.0168
2458827.208362,9.6974,0.0167
2458827.208455,9.707,0.017
2458827.208547,9.7031,0.0167
2458827.208628,9.7245,0.0167
2458827.208721,9.712,0.0171
2458827.208814,9.6946,0.0169
2458827.208895,9.7077,0.0168
2458827.208987,9.7183,0.0168
2458827.20908,9.7329,0.0167
2458827.209161,9.6635,0.0173
2458827.209253,9.6772,0.0166
2458827.209346,9.7221,0.0169
2458827.209439,9.7157,0.0169
2458827.209531,9.6944,0.0168
2458827.209612,9.6855,0.0171
2458827.209705,9.7093,0.0169
2458827.209797,9.6995,0.0166
2458827.209878,9.7402,0.0168
2458827.209971,9.7159,0.0169
2458827.210064,9.7112,0.0166
2458827.210145,9.7074,0.0174
2458827.210237,9.7185,0.0164
2458827.21033,9.7216,0.0168
2458827.210422,9.6812,0.0169
2458827.210503,9.734,0.0166
2458827.210596,9.7068,0.0169
2458827.210689,9.7278,0.0164
2458827.21077,9.7312,0.0168
2458827.210862,9.722,0.017
2458827.210955,9.7344,0.0168
2458827.211047,9.7502,0.0165
2458827.211128,9.7175,0.0171
2458827.211221,9.7154,0.0165
2458827.211314,9.7263,0.0167
2458827.211395,9.7065,0.0169
2458827.211487,9.739,0.0166
2458827.21158,9.7591,0.0168
2458827.211672,9.7079,0.017
2458827.211753,9.7581,0.0167
2458827.211846,9.6984,0.0165
2458827.211939,9.7185,0.0165
2458827.212031,9.6881,0.0165
2458827.212112,9.7104,0.0164
2458827.212205,9.6921,0.0168
2458827.212297,9.7544,0.0165
2458827.212378,9.7334,0.0164
2458827.212471,9.7415,0.0166
2458827.212564,9.7433,0.0161
2458827.212656,9.7332,0.0166
2458827.212737,9.7324,0.0162
2458827.21283,9.727,0.0164
2458827.212934,9.7372,0.0163
2458827.213015,9.7655,0.0165
2458827.213108,9.7359,0.0162
2458827.2132,9.7147,0.0163
2458827.213281,9.7135,0.0164
2458827.213374,9.7326,0.0161
2458827.213466,9.7266,0.0163
2458827.213559,9.7357,0.0166
2458827.213652,9.7249,0.0163
2458827.213733,9.7201,0.0163
2458827.213825,9.7372,0.0164
2458827.213918,9.6975,0.0166
2458827.213999,9.7472,0.0168
2458827.214091,9.7308,0.0165
2458827.214184,9.6883,0.0168
2458827.214277,9.7334,0.0164
2458827.214358,9.7982,0.0164
2458827.21445,9.7365,0.0165
2458827.214543,9.7408,0.0164
2458827.214624,9.7291,0.0171
2458827.214716,9.7256,0.0169
2458827.214809,9.758,0.0167
2458827.21489,9.7519,0.0166
2458827.214983,9.7425,0.0169
2458827.215075,9.7247,0.0163
2458827.215156,9.7222,0.0191
2458827.215249,9.7523,0.0164
2458827.215341,9.7495,0.0165
2458827.215434,9.7016,0.0165
2458827.215515,9.7084,0.0165
2458827.215608,9.7339,0.0165
2458827.2157,9.7427,0.0169
2458827.215793,9.7467,0.0166
2458827.215874,9.772,0.0163
2458827.215966,9.6973,0.0169
2458827.216059,9.7678,0.0166
2458827.21614,9.7161,0.0166
2458827.216233,9.7294,0.0165
2458827.216325,9.7041,0.0169
2458827.216418,9.7276,0.0165
2458827.216499,9.7313,0.0168
