jd,mag,uncertainty
2459454.349948,9.6921,0.0148
2459454.350041,9.6634,0.014
2459454.350388,9.6561,0.0138
2459454.351591,9.7226,0.0141
2459454.351939,9.7389,0.0137
2459454.352205,9.7077,0.0137
2459454.352459,9.7723,0.014
2459454.352633,9.7602,0.014
2459454.352726,9.7369,0.014
2459454.352807,9.7432,0.0136
2459454.353247,9.7348,0.0138
2459454.353594,9.6626,0.0135
2459454.353767,9.715,0.0137
2459454.353941,9.7198,0.0139
2459454.354288,9.7185,0.0136
2459454.354369,9.6837,0.0137
2459454.354902,9.703,0.0136
2459454.355156,9.6671,0.0135
2459454.356279,9.7011,0.0138
2459454.356453,9.6643,0.0135
2459454.357841,9.7126,0.0137
2459454.357922,9.7637,0.0138
2459454.358096,9.7365,0.0137
2459454.358177,9.7323,0.0139
2459454.35827,9.7027,0.0137
2459454.358443,9.662,0.0137
2459454.358536,9.7029,0.0139
2459454.358698,9.6605,0.0137
2459454.358872,9.6755,0.0136
2459454.358964,9.6736,0.0137
2459454.359045,9.6919,0.0137
2459454.3593,9.7078,0.0136
2459454.359392,9.7467,0.0136
2459454.359473,9.7127,0.0138
2459454.359554,9.7245,0.0141
2459454.359647,9.671,0.0138
2459454.359728,9.7079,0.0139
2459454.359821,9.6598,0.0137
2459454.359902,9.6975,0.0138
2459454.359983,9.6849,0.0136
2459454.360075,9.7222,0.0139
2459454.360156,9.7121,0.0135
2459454.360249,9.7173,0.0137
2459454.360411,9.6539,0.0137
2459454.360503,9.7024,0.0138
2459454.360677,9.6854,0.0136
2459454.361105,9.6549,0.0138
2459454.361186,9.683,0.0137
2459454.36136,9.6582,0.0136
2459454.361453,9.6829,0.0137
2459454.361788,9.6682,0.0137
2459454.362066,9.6702,0.0137
2459454.362413,9.6814,0.0139
2459454.362494,9.6949,0.0136
2459454.362587,9.6788,0.0134
2459454.36276,9.6894,0.0137
2459454.362841,9.7296,0.0135
2459454.363015,9.6979,0.0136
2459454.363617,9.6565,0.0136
2459454.364763,9.7042,0.0136
2459454.364844,9.7226,0.0139
2459454.36511,9.7078,0.016
2459454.365191,9.7341,0.0138
2459454.365457,9.713,0.0135
2459454.365793,9.7306,0.0135
2459454.365885,9.7177,0.0133
2459454.367946,9.6419,0.0133
2459454.368119,9.6989,0.0136
2459454.368455,9.6548,0.0135
2459454.368547,9.6971,0.0136
2459454.368628,9.7031,0.0134
2459454.368721,9.715,0.0138
2459454.368802,9.707,0.0136
2459454.368895,9.6967,0.0135
2459454.369149,9.6981,0.0135
2459454.36923,9.643,0.0135
2459454.369323,9.6689,0.0134
2459454.369404,9.6592,0.0132
2459454.369497,9.678,0.0138
2459454.369578,9.657,0.0138
2459454.369659,9.7084,0.0139
2459454.369751,9.7066,0.0135
2459454.369832,9.665,0.0135
2459454.369925,9.7462,0.0136
2459454.370006,9.7059,0.0136
2459454.370087,9.6971,0.0134
2459454.370179,9.7213,0.0137
2459454.37026,9.6973,0.0136
2459454.370353,9.6994,0.0136
2459454.370434,9.6967,0.0134
2459454.370515,9.7124,0.0135
2459454.370608,9.7179,0.0136
2459454.370689,9.7319,0.0136
2459454.370781,9.707,0.0136
2459454.370955,9.7175,0.0136
