jd,mag,uncertainty
2457619.76674,9.583,0.006
2457619.76799,9.588,0.005
2457619.76925,9.573,0.006
2457619.7705,9.56,0.005
2457619.77176,9.561,0.006
2457619.77302,9.548,0.005
2457619.77427,9.541,0.006
2457619.77553,9.537,0.005
2457619.77678,9.509,0.005
2457619.77804,9.492,0.006
2457619.77931,9.476,0.006
2457619.78056,9.458,0.005
2457619.78182,9.432,0.005
2457619.78307,9.434,0.005
2457619.78433,9.409,0.006
2457619.78558,9.387,0.005
2457619.78684,9.361,0.005
2457619.78809,9.342,0.005
2457619.78935,9.343,0.005
2457619.79061,9.316,0.005
2457619.79186,9.303,0.005
2457619.79313,9.284,0.005
2457619.79438,9.272,0.005
2457619.79564,9.249,0.005
2457619.79689,9.244,0.005
2457619.79815,9.23,0.005
2457619.79941,9.218,0.005
2457619.80066,9.213,0.005
2457619.80192,9.206,0.005
2457619.80317,9.191,0.005
2457619.80443,9.201,0.005
2457619.80568,9.185,0.005
2457619.80694,9.184,0.005
2457619.80821,9.172,0.005
2457619.80946,9.19,0.005
2457619.81072,9.195,0.005
2457619.81198,9.193,0.005
2457619.81323,9.187,0.005
2457619.81449,9.203,0.005
2457619.81575,9.202,0.005
2457619.817,9.207,0.005
2457619.81826,9.209,0.005
2457619.81953,9.205,0.005
2457619.82078,9.202,0.005
2457619.82203,9.204,0.005
2457619.82329,9.204,0.005
2457619.82455,9.193,0.005
2457619.8258,9.194,0.005
2457619.82706,9.203,0.006
2457619.82831,9.186,0.005
2457619.82957,9.192,0.005
2457619.83082,9.193,0.005
2457619.83208,9.185,0.005
2457619.83334,9.175,0.005
2457619.83459,9.165,0.005
2457619.83586,9.166,0.005
2457619.83711,9.182,0.005
2457619.83837,9.175,0.005
2457619.83963,9.165,0.006
2457619.84089,9.187,0.005
2457620.77175,9.192,0.006
2457620.773,9.191,0.006
2457620.77426,9.204,0.006
2457620.77551,9.207,0.006
2457620.77677,9.208,0.006
2457620.77803,9.213,0.006
2457620.77928,9.218,0.006
2457620.78054,9.224,0.006
2457620.78179,9.221,0.006
2457620.78306,9.226,0.006
2457620.78431,9.218,0.006
2457620.78557,9.236,0.006
2457620.78683,9.241,0.006
2457620.78808,9.243,0.006
2457620.78934,9.236,0.006
2457620.79059,9.241,0.006
2457620.79185,9.254,0.006
2457620.79311,9.255,0.006
2457620.79436,9.269,0.006
2457620.79563,9.258,0.006
2457620.79688,9.264,0.006
2457620.79814,9.278,0.006
2457620.7994,9.277,0.006
2457620.80065,9.275,0.006
2457620.80191,9.302,0.006
2457620.80316,9.289,0.006
2457620.80442,9.287,0.006
2457620.80567,9.281,0.006
2457620.80693,9.313,0.006
2457620.80818,9.316,0.006
2457620.80944,9.301,0.006
2457620.81069,9.309,0.006
2457620.81196,9.338,0.006
2457620.81322,9.327,0.006
2457620.81447,9.323,0.006
2457620.81572,9.333,0.006
2457620.81698,9.352,0.006
2457620.81824,9.343,0.006
2457620.81949,9.357,0.007
2457620.82201,9.377,0.008
2457620.82326,9.373,0.009
2457620.82578,9.386,0.007
2457620.82704,9.39,0.007
2457620.8283,9.375,0.008
2457620.82955,9.383,0.007
2457620.8308,9.405,0.007
2457620.83206,9.398,0.008
