jd,mag,uncertainty
2458537.355876,9.5191,0.003
2458537.356035,9.5415,0.003
2458537.356832,9.542,0.003
2458537.35731,9.5453,0.003
2458537.357469,9.549,0.003
2458537.357628,9.5458,0.003
2458537.357788,9.5329,0.003
2458537.358266,9.533,0.003
2458537.358427,9.5374,0.003
2458537.358745,9.546,0.003
2458537.358905,9.5218,0.0031
2458537.359064,9.557,0.003
2458537.359223,9.5443,0.003
2458537.359382,9.5395,0.003
2458537.359542,9.5386,0.003
2458537.359701,9.5536,0.003
2458537.360019,9.5503,0.003
2458537.360178,9.5508,0.003
2458537.360815,9.5461,0.003
2458537.360975,9.5568,0.003
2458537.361294,9.5488,0.0031
2458537.361772,9.5473,0.003
2458537.361932,9.5437,0.0031
2458537.362251,9.5689,0.0032
2458537.36241,9.5628,0.0031
2458537.362569,9.5523,0.003
2458537.363048,9.5604,0.003
2458537.363207,9.5652,0.003
2458537.363845,9.5925,0.0031
2458537.364005,9.5737,0.0031
2458537.364164,9.5622,0.0032
2458537.364483,9.5555,0.0032
2458537.364962,9.6,0.0032
2458537.365441,9.5554,0.0032
2458537.366078,9.6004,0.0031
2458537.366238,9.5796,0.0031
2458537.366398,9.5742,0.0031
2458537.366557,9.578,0.0031
2458537.366718,9.56,0.0031
2458537.366878,9.5852,0.0031
2458537.367038,9.5844,0.0031
2458537.367515,9.5612,0.0031
2458537.367675,9.6098,0.003
2458537.367994,9.6002,0.0031
2458537.368631,9.6203,0.003
2458537.369428,9.6136,0.0031
2458537.369746,9.5999,0.0031
2458537.369905,9.589,0.0031
2458537.371499,9.5896,0.0031
2458537.371659,9.6062,0.0031
2458537.371977,9.5896,0.0031
2458537.372136,9.601,0.0031
2458537.372296,9.594,0.0031
2458537.372933,9.6199,0.0032
2458537.373092,9.6035,0.0032
2458537.37357,9.6043,0.0032
2458537.37373,9.6146,0.0031
2458537.374368,9.6203,0.0031
2458537.374527,9.5934,0.0032
2458537.374846,9.6152,0.0032
2458537.375164,9.5975,0.0032
2458537.375642,9.6174,0.0032
2458537.37612,9.6318,0.0032
2458537.376279,9.6288,0.0032
2458537.376438,9.6225,0.0032
2458537.376757,9.6171,0.0032
2458537.376916,9.6344,0.0032
2458537.377076,9.6225,0.0032
2458537.377713,9.6261,0.0033
2458537.377872,9.6467,0.0032
2458537.378192,9.6243,0.0032
2458537.378351,9.6525,0.0032
2458537.379148,9.6352,0.0032
2458537.379308,9.6287,0.0032
2458537.379787,9.626,0.0032
2458537.379946,9.6419,0.0032
2458537.380107,9.6292,0.0032
2458537.380267,9.6326,0.0032
2458537.380745,9.6215,0.0032
2458537.381223,9.6135,0.0032
2458537.381382,9.622,0.0032
2458537.381542,9.6357,0.0032
2458537.381701,9.6396,0.0033
2458537.382021,9.6216,0.0033
2458537.38218,9.628,0.0033
2458537.382339,9.637,0.0033
2458537.382499,9.6244,0.0033
2458537.382658,9.6293,0.0033
2458537.382818,9.6405,0.0033
2458537.383456,9.6326,0.0033
2458537.383616,9.6497,0.0033
2458537.383934,9.6478,0.0033
2458537.384094,9.6641,0.0033
2458537.384253,9.6576,0.0033
2458537.384413,9.6389,0.0033
2458537.384892,9.6373,0.0033
2458537.385051,9.6558,0.0033
2458537.385211,9.6239,0.0033
2458537.38537,9.6417,0.0033
2458537.385529,9.6208,0.0033
2458537.385689,9.6706,0.0033
2458537.385848,9.6621,0.0033
2458537.386008,9.6563,0.0033
2458537.386168,9.6637,0.0034
2458537.386327,9.6763,0.0033
2458537.386584,9.6576,0.0033
2458537.386982,9.6781,0.0034
