jd,mag,uncertainty
2457623.65303,9.553,0.005
2457623.65428,9.554,0.005
2457623.65554,9.549,0.005
2457623.65679,9.563,0.005
2457623.65806,9.57,0.005
2457623.65931,9.568,0.005
2457623.66057,9.585,0.005
2457623.66183,9.59,0.005
2457623.66308,9.587,0.005
2457623.66434,9.588,0.005
2457623.66559,9.597,0.005
2457623.66685,9.599,0.005
2457623.66811,9.615,0.005
2457623.66936,9.616,0.005
2457623.67063,9.617,0.005
2457623.67188,9.631,0.005
2457623.67314,9.641,0.005
2457623.6744,9.649,0.005
2457623.67565,9.648,0.005
2457623.67691,9.642,0.005
2457623.67816,9.653,0.005
2457623.67942,9.656,0.005
2457623.68067,9.663,0.005
2457623.68193,9.674,0.005
2457623.68319,9.683,0.005
2457623.68444,9.678,0.005
2457623.68571,9.684,0.005
2457623.68696,9.694,0.005
2457623.68822,9.686,0.005
2457623.68948,9.702,0.005
2457623.69073,9.692,0.005
2457623.69199,9.698,0.005
2457623.69324,9.711,0.005
2457623.6945,9.701,0.005
2457623.69576,9.715,0.005
2457623.69701,9.721,0.005
2457623.69828,9.724,0.005
2457623.69953,9.726,0.005
2457623.70079,9.732,0.005
2457623.70204,9.727,0.005
2457623.7033,9.73,0.005
2457623.70456,9.74,0.005
2457623.70581,9.73,0.005
2457623.70707,9.742,0.005
2457623.70832,9.752,0.005
2457623.70958,9.735,0.005
2457623.71083,9.752,0.005
2457623.71209,9.737,0.005
2457623.71336,9.739,0.005
2457623.71461,9.739,0.005
2457623.71587,9.75,0.005
2457623.71712,9.745,0.005
2457623.71838,9.743,0.005
2457623.71963,9.759,0.005
2457623.72089,9.74,0.005
2457623.72215,9.74,0.005
2457623.72341,9.754,0.005
2457623.72466,9.747,0.005
2457623.72593,9.746,0.005
2457623.72718,9.741,0.005
2457623.72844,9.746,0.005
2457623.72969,9.739,0.005
2457623.73095,9.743,0.005
2457623.7322,9.745,0.005
2457623.73346,9.743,0.005
2457623.73472,9.746,0.005
2457623.73597,9.739,0.005
2457623.73723,9.735,0.005
2457623.73848,9.733,0.005
2457623.73975,9.738,0.005
2457623.741,9.739,0.005
2457623.74226,9.732,0.005
2457623.74351,9.732,0.005
2457623.75093,9.724,0.005
2457623.75216,9.72,0.005
2457623.75343,9.717,0.005
2457623.75469,9.702,0.005
2457623.75594,9.708,0.005
2457623.7572,9.716,0.005
2457623.75845,9.711,0.005
2457623.75971,9.697,0.005
2457623.76097,9.684,0.005
2457623.76222,9.685,0.005
2457623.76348,9.683,0.005
