jd,mag,uncertainty
2459496.31804,9.709,0.002
2459496.32038,9.698,0.002
2459496.32273,9.708,0.002
2459496.32508,9.721,0.002
2459496.32744,9.724,0.002
2459496.32979,9.708,0.002
2459496.33215,9.735,0.002
2459496.33451,9.728,0.002
2459496.33686,9.739,0.002
2459496.33921,9.737,0.002
2459496.34155,9.74,0.002
2459496.34391,9.729,0.002
2459496.34626,9.738,0.002
2459496.3486,9.727,0.002
2459496.35095,9.745,0.002
2459496.3533,9.723,0.002
2459496.35563,9.73,0.002
2459496.35799,9.725,0.002
2459496.35955,9.743,0.002
2459496.36189,9.738,0.002
2459496.36424,9.742,0.002
2459496.36657,9.731,0.002
2459496.36892,9.72,0.002
2459496.37126,9.708,0.002
2459496.37361,9.726,0.002
2459496.37595,9.719,0.002
2459496.37831,9.7,0.002
2459496.38066,9.683,0.002
2459496.383,9.699,0.002
2459496.38534,9.687,0.002
2459496.38769,9.671,0.002
2459496.39003,9.67,0.002
2459496.39238,9.652,0.002
2459496.39473,9.63,0.002
2459496.39709,9.625,0.002
2459496.39944,9.613,0.002
2459496.40179,9.605,0.002
2459496.40414,9.594,0.002
2459496.40649,9.549,0.002
2459496.40884,9.537,0.002
2459496.41119,9.507,0.002
2459496.41353,9.487,0.002
2459496.41588,9.439,0.002
2459496.41823,9.403,0.002
2459496.42057,9.381,0.002
2459496.42293,9.352,0.002
2459496.42528,9.312,0.002
2459496.42763,9.283,0.002
2459496.42998,9.241,0.002
2459496.43233,9.216,0.002
2459496.43466,9.187,0.002
2459496.43701,9.194,0.002
2459496.43935,9.176,0.002
2459496.4417,9.164,0.002
2459496.44404,9.173,0.002
2459496.44826,9.171,0.002
2459496.4506,9.187,0.002
2459496.45293,9.186,0.002
2459496.45527,9.187,0.002
2459496.45762,9.197,0.002
2459496.45995,9.191,0.002
2459496.4623,9.174,0.002
2459496.46465,9.179,0.002
2459496.4689,9.163,0.002
2459496.47124,9.161,0.002
2459496.47359,9.171,0.002
2459496.47594,9.161,0.002
2459496.47829,9.164,0.002
2459496.48064,9.174,0.002
2459496.48299,9.178,0.002
2459496.48534,9.175,0.002
2459496.48957,9.195,0.002
2459496.49192,9.205,0.002
2459496.49427,9.215,0.002
2459496.49662,9.228,0.002
2459496.49897,9.227,0.002
2459496.50132,9.244,0.002
2459496.50366,9.253,0.002
2459496.50602,9.257,0.002
2459496.50836,9.279,0.002
2459496.51069,9.278,0.002
2459496.51304,9.285,0.002
2459496.51736,9.308,0.002
2459496.5197,9.312,0.002
2459496.52205,9.335,0.002
