jd,mag,uncertainty
2457627.76778,9.705,0.005
2457627.76903,9.708,0.005
2457627.77029,9.697,0.005
2457627.77155,9.682,0.005
2457627.7728,9.691,0.005
2457627.77406,9.685,0.005
2457627.77532,9.679,0.005
2457627.77659,9.68,0.005
2457627.77784,9.674,0.005
2457627.7791,9.669,0.005
2457627.78036,9.659,0.005
2457627.78162,9.659,0.005
2457627.78287,9.64,0.005
2457627.78413,9.65,0.005
2457627.78538,9.644,0.005
2457627.78664,9.636,0.005
2457627.78791,9.635,0.005
2457627.78916,9.618,0.005
2457627.79042,9.613,0.005
2457627.79167,9.598,0.005
2457627.79293,9.593,0.005
2457627.79418,9.581,0.005
2457627.79544,9.58,0.005
2457627.7967,9.567,0.005
2457627.79795,9.544,0.005
2457627.79921,9.552,0.004
2457627.80047,9.52,0.005
2457627.80174,9.508,0.005
2457627.80299,9.507,0.004
2457627.80425,9.477,0.004
2457627.80551,9.471,0.004
2457627.80676,9.448,0.004
2457627.80802,9.424,0.004
2457627.80928,9.416,0.004
2457627.81053,9.407,0.004
2457627.81179,9.373,0.004
2457627.81306,9.359,0.004
2457627.81431,9.35,0.004
2457627.81557,9.32,0.004
2457627.81682,9.309,0.004
2457627.81808,9.291,0.004
2457627.81934,9.27,0.004
2457627.82059,9.254,0.004
2457627.82185,9.241,0.004
2457627.8231,9.233,0.004
2457627.82436,9.226,0.004
2457627.82563,9.205,0.004
2457627.82688,9.189,0.004
2457627.82814,9.191,0.004
2457627.8294,9.176,0.004
2457627.83066,9.182,0.004
2457627.83191,9.177,0.004
2457627.83317,9.18,0.004
2457627.83443,9.175,0.004
2457627.83568,9.177,0.004
2457627.83694,9.19,0.004
2457627.83821,9.188,0.004
2457627.83947,9.19,0.004
2457627.84072,9.188,0.004
2457627.84198,9.205,0.004
2457627.84324,9.193,0.004
2457627.8445,9.205,0.004
2457627.84575,9.21,0.004
2457627.84701,9.197,0.004
2457627.84828,9.21,0.004
2457627.84954,9.204,0.004
2457627.85079,9.197,0.004
2457627.85205,9.184,0.004
2457627.85331,9.185,0.004
2457627.85457,9.188,0.004
2457627.85582,9.187,0.004
2457627.85708,9.179,0.004
2457627.85834,9.181,0.004
2457627.85959,9.182,0.004
2457627.86086,9.172,0.004
2457627.86212,9.173,0.005
2457627.86337,9.164,0.005
2457627.86463,9.181,0.004
2457627.86589,9.171,0.005
