jd,mag,uncertainty
2460192.332865,9.6735,0.0127
2460192.33298,9.6201,0.0124
2460192.333108,9.6494,0.0124
2460192.333339,9.683,0.0124
2460192.333466,9.6407,0.0124
2460192.333582,9.6724,0.0124
2460192.333709,9.6741,0.0124
2460192.333825,9.6356,0.0123
2460192.334196,9.6544,0.0124
2460192.334311,9.6442,0.0123
2460192.334427,9.6621,0.0125
2460192.334797,9.6327,0.0123
2460192.334913,9.6639,0.0123
2460192.335156,9.6323,0.0123
2460192.335284,9.6497,0.0125
2460192.335399,9.6319,0.0123
2460192.335515,9.6732,0.0124
2460192.335642,9.6191,0.0123
2460192.335758,9.6551,0.0123
2460192.336001,9.6495,0.0124
2460192.336128,9.6455,0.0123
2460192.33636,9.6681,0.0124
2460192.336487,9.646,0.0124
2460192.336603,9.6541,0.0123
2460192.33673,9.6573,0.0123
2460192.336846,9.6216,0.0122
2460192.336973,9.6725,0.0124
2460192.337216,9.6341,0.0123
2460192.337332,9.6522,0.0123
2460192.337459,9.6505,0.0123
2460192.337575,9.6344,0.0123
2460192.337818,9.6774,0.0122
2460192.337946,9.6259,0.0122
2460192.338061,9.6583,0.0123
2460192.338304,9.6406,0.0121
2460192.338432,9.6678,0.0122
2460192.338547,9.6023,0.0121
2460192.338675,9.6638,0.0123
2460192.338918,9.6279,0.0121
2460192.339034,9.6313,0.0121
2460192.339161,9.6512,0.0121
2460192.339635,9.6623,0.0123
2460192.339763,9.6303,0.0124
2460192.339878,9.6654,0.0121
2460192.340006,9.6483,0.0121
2460192.340365,9.6451,0.0123
2460192.340492,9.6487,0.0122
2460192.340608,9.6386,0.0121
2460192.340978,9.6086,0.012
2460192.341094,9.6362,0.0122
2460192.341209,9.6234,0.0121
2460192.341337,9.6492,0.0122
2460192.341453,9.6331,0.012
2460192.34158,9.6271,0.0121
2460192.341696,9.6083,0.012
2460192.342066,9.598,0.012
2460192.342182,9.6209,0.012
2460192.342309,9.6491,0.012
2460192.342552,9.6579,0.0121
2460192.342668,9.65,0.0122
2460192.342795,9.6498,0.012
2460192.342911,9.6423,0.0122
2460192.343154,9.5759,0.012
2460192.343397,9.6647,0.0122
2460192.343524,9.6351,0.0121
2460192.343767,9.6328,0.0122
2460192.343883,9.5859,0.0121
2460192.344126,9.6248,0.0121
2460192.344253,9.6295,0.0119
2460192.344369,9.6066,0.0122
2460192.344497,9.6409,0.012
2460192.344612,9.5824,0.0121
2460192.34474,9.604,0.012
2460192.344971,9.6163,0.012
2460192.345098,9.5899,0.0119
2460192.345214,9.6492,0.012
2460192.345341,9.6377,0.0122
2460192.345457,9.618,0.0121
2460192.345584,9.6098,0.012
2460192.3457,9.618,0.0119
2460192.345828,9.6134,0.012
2460192.346071,9.6037,0.0119
2460192.346186,9.5811,0.012
2460192.346314,9.5851,0.0119
2460192.346557,9.5775,0.0119
2460192.346672,9.6191,0.012
2460192.346788,9.6081,0.012
2460192.346916,9.6117,0.012
2460192.347159,9.5849,0.0119
2460192.347402,9.6149,0.0119
2460192.347645,9.5938,0.0121
2460192.34776,9.5997,0.012
2460192.347888,9.6024,0.0119
2460192.348003,9.5904,0.012
2460192.348131,9.5981,0.0118
2460192.348374,9.568,0.0118
2460192.34849,9.6328,0.012
2460192.348617,9.5666,0.0119
2460192.34886,9.5752,0.0118
2460192.348976,9.5752,0.0119
2460192.349103,9.6032,0.012
2460192.349219,9.593,0.0119
2460192.349346,9.5964,0.0119
2460192.349462,9.5778,0.0118
2460192.349589,9.5687,0.0119
2460192.349705,9.5595,0.0118
2460192.349821,9.5944,0.0119
2460192.349948,9.6065,0.012
2460192.350064,9.5567,0.0119
2460192.350307,9.5589,0.0119
2460192.350434,9.5947,0.0118
2460192.350677,9.6106,0.0118
2460192.350793,9.5585,0.0118
2460192.35092,9.5812,0.0118
2460192.351036,9.5903,0.0119
2460192.351163,9.607,0.0119
2460192.351279,9.5915,0.0118
2460192.351406,9.5921,0.0118
2460192.351522,9.6034,0.0118
2460192.351649,9.5277,0.0119
2460192.351765,9.5585,0.0118
2460192.352008,9.5498,0.0117
2460192.352124,9.6184,0.0118
2460192.352251,9.5937,0.0118
2460192.35261,9.5534,0.0117
2460192.352737,9.5446,0.0117
2460192.352853,9.5471,0.0116
2460192.353339,9.5637,0.0118
2460192.353466,9.5701,0.0117
2460192.353582,9.5537,0.0118
2460192.353698,9.5511,0.0119
2460192.353825,9.5658,0.0117
2460192.353941,9.5861,0.0118
2460192.354068,9.569,0.0118
2460192.354184,9.531,0.0118
2460192.354311,9.582,0.0118
2460192.354427,9.5382,0.0117
2460192.354797,9.5169,0.0116
2460192.354913,9.5739,0.0117
2460192.355041,9.5662,0.0116
2460192.355156,9.5327,0.0116
2460192.355284,9.5173,0.0116
2460192.355399,9.5607,0.0116
2460192.35577,9.5503,0.0117
2460192.355885,9.5096,0.0117
2460192.356013,9.5481,0.0117
2460192.356128,9.5357,0.0116
2460192.356256,9.5538,0.0117
2460192.356372,9.4938,0.0116
2460192.356615,9.547,0.0116
2460192.35673,9.546,0.0116
2460192.356858,9.5498,0.0116
2460192.357216,9.5197,0.0116
2460192.357344,9.5241,0.0115
2460192.357459,9.5242,0.0116
2460192.357587,9.5456,0.0115
2460192.357703,9.5226,0.0117
2460192.35783,9.5477,0.0115
2460192.358073,9.5351,0.0116
2460192.358189,9.5357,0.0117
2460192.358432,9.5386,0.0115
2460192.358559,9.5133,0.0115
2460192.358675,9.541,0.0116
2460192.358918,9.5373,0.0116
2460192.359034,9.4977,0.0115
2460192.359161,9.5154,0.0116
2460192.359277,9.5207,0.0116
2460192.359404,9.4867,0.0116
2460192.35952,9.4985,0.0115
2460192.359647,9.4805,0.0114
2460192.359763,9.5115,0.0114
2460192.360006,9.5056,0.0114
2460192.360133,9.5072,0.0115
2460192.360249,9.517,0.0116
2460192.360376,9.495,0.0115
2460192.360492,9.4965,0.0114
2460192.360851,9.4961,0.0114
2460192.360978,9.5233,0.0116
2460192.361094,9.4981,0.0115
2460192.361221,9.4898,0.0114
2460192.361337,9.4839,0.0115
2460192.361464,9.4902,0.0114
2460192.36158,9.4729,0.0116
2460192.361707,9.4639,0.0113
2460192.362066,9.5053,0.0115
2460192.362193,9.4633,0.0115
2460192.362309,9.4789,0.0113
2460192.362552,9.5036,0.0114
2460192.362795,9.5067,0.0114
2460192.362922,9.4621,0.0113
2460192.363038,9.4578,0.0114
2460192.363166,9.4677,0.0113
2460192.363281,9.4782,0.0114
2460192.363409,9.4526,0.0114
2460192.363524,9.4678,0.0114
2460192.363767,9.4703,0.0112
2460192.363883,9.4387,0.0112
2460192.36401,9.4611,0.0112
2460192.364253,9.4734,0.0113
2460192.364369,9.4427,0.0113
2460192.364497,9.467,0.0113
2460192.364612,9.4286,0.0112
2460192.364855,9.437,0.0113
2460192.364983,9.4349,0.0112
2460192.365098,9.4479,0.0112
2460192.365226,9.4297,0.0112
2460192.365341,9.448,0.0112
2460192.365469,9.469,0.0113
2460192.365584,9.4625,0.0113
2460192.365943,9.4117,0.0112
2460192.366071,9.4323,0.0113
2460192.366186,9.4391,0.011
2460192.366545,9.4332,0.0112
