jd,mag,uncertainty
2456864.650428,9.494,0.019
2456864.651157,9.512,0.018
2456864.651898,9.515,0.018
2456864.652627,9.513,0.017
2456864.653356,9.497,0.019
2456864.654097,9.505,0.018
2456864.654826,9.508,0.017
2456864.655567,9.507,0.017
2456864.656308,9.484,0.017
2456864.657049,9.508,0.017
2456864.657778,9.488,0.016
2456864.658519,9.493,0.017
2456864.659248,9.476,0.016
2456864.659988,9.482,0.016
2456864.660729,9.494,0.016
2456864.661458,9.497,0.016
2456864.662199,9.493,0.016
2456864.66294,9.488,0.015
2456864.663669,9.483,0.014
2456864.66441,9.466,0.015
2456864.665139,9.461,0.014
2456864.66588,9.464,0.015
2456864.666609,9.462,0.015
2456864.66735,9.464,0.014
2456864.66809,9.457,0.014
2456864.668819,9.446,0.015
2456864.66956,9.426,0.014
2456864.670289,9.44,0.015
2456864.67103,9.422,0.015
2456864.671771,9.425,0.014
2456864.6725,9.428,0.014
2456864.673241,9.414,0.015
2456864.67397,9.395,0.014
2456864.674711,9.386,0.016
2456864.675451,9.382,0.015
2456864.676181,9.389,0.014
2456864.676921,9.376,0.015
2456864.677662,9.376,0.015
2456864.678391,9.359,0.015
2456864.67912,9.349,0.016
2456864.679861,9.354,0.024
2456864.68059,9.352,0.015
2456864.681331,9.329,0.015
2456864.682072,9.305,0.015
2456864.682801,9.29,0.015
2456864.683542,9.283,0.016
2456864.684282,9.302,0.015
2456864.685012,9.283,0.015
2456864.685752,9.268,0.016
2456864.686493,9.254,0.015
2456864.687222,9.238,0.016
2456864.687951,9.238,0.015
2456864.688692,9.219,0.015
2456864.689421,9.227,0.015
2456864.690162,9.209,0.016
2456864.690891,9.196,0.016
2456864.691632,9.176,0.017
2456864.692373,9.155,0.016
2456864.693102,9.155,0.016
2456864.693843,9.141,0.016
2456864.694583,9.14,0.016
2456864.695313,9.134,0.016
2456864.696053,9.104,0.016
2456864.696782,9.105,0.016
2456864.697523,9.09,0.016
2456864.698264,9.081,0.016
2456864.698993,9.093,0.016
2456864.699734,9.078,0.016
2456864.700475,9.048,0.015
2456864.701204,9.048,0.015
2456864.701956,9.053,0.015
2456864.702697,9.04,0.014
2456864.703438,9.039,0.014
2456864.704178,9.032,0.015
2456864.704907,9.037,0.014
2456864.705648,9.026,0.014
2456864.706377,9.022,0.014
2456864.707118,9.015,0.014
2456864.707847,9.006,0.013
2456864.708588,9.019,0.014
2456864.709317,9.027,0.013
2456864.710058,9.02,0.012
2456864.710799,9.009,0.014
2456864.711528,9.009,0.013
2456864.712269,9.017,0.013
2456864.713009,9.006,0.013
2456864.713738,9.01,0.013
2456864.714468,9.033,0.014
2456864.715208,9.02,0.013
2456864.715949,9.038,0.013
2456864.716678,9.025,0.013
2456864.717419,9.015,0.013
2456864.718148,9.031,0.013
2456864.718889,9.033,0.013
2456864.71963,9.044,0.012
2456864.720359,9.027,0.012
2456864.7211,9.042,0.013
2456864.721829,9.033,0.013
2456864.722558,9.043,0.012
2456864.723299,9.043,0.013
2456864.724039,9.042,0.013
2456864.724769,9.052,0.012
2456864.725509,9.041,0.013
2456864.726262,9.031,0.013
