jd,mag,uncertainty
2459466.32834,9.509,0.002
2459466.33069,9.491,0.002
2459466.33488,9.517,0.002
2459466.33722,9.513,0.002
2459466.33956,9.487,0.002
2459466.34188,9.506,0.003
2459466.34416,9.565,0.003
2459466.34645,9.578,0.003
2459466.34873,9.575,0.003
2459466.35102,9.609,0.003
2459466.35514,9.627,0.003
2459466.35741,9.645,0.003
2459466.35969,9.63,0.003
2459466.36197,9.644,0.003
2459466.36427,9.63,0.002
2459466.36661,9.63,0.002
2459466.36892,9.646,0.003
2459466.37122,9.679,0.003
2459466.37539,9.7,0.003
2459466.37767,9.722,0.003
2459466.37995,9.704,0.003
2459466.38223,9.725,0.003
2459466.38455,9.714,0.002
2459466.38689,9.721,0.002
2459466.38922,9.723,0.002
2459466.39156,9.745,0.002
2459466.3939,9.744,0.002
2459466.39808,9.744,0.002
2459466.40043,9.773,0.002
2459466.40277,9.742,0.002
2459466.4051,9.759,0.002
2459466.40745,9.726,0.002
2459466.40979,9.747,0.002
2459466.41214,9.775,0.003
2459466.41447,9.756,0.003
2459466.41679,9.749,0.002
2459466.41913,9.749,0.002
2459466.42147,9.734,0.002
2459466.42381,9.724,0.002
2459466.42613,9.74,0.002
2459466.42847,9.742,0.002
2459466.43271,9.728,0.002
2459466.43503,9.715,0.003
2459466.43737,9.713,0.002
2459466.43939,9.719,0.002
2459466.44172,9.724,0.002
2459466.44406,9.717,0.002
2459466.4464,9.725,0.002
2459466.44875,9.695,0.002
2459466.45108,9.68,0.002
2459466.45341,9.68,0.002
2459466.45576,9.683,0.002
2459466.45809,9.655,0.002
2459466.46044,9.634,0.002
2459466.46278,9.621,0.002
2459466.46512,9.624,0.002
2459466.46745,9.604,0.002
2459466.46979,9.582,0.002
2459466.47214,9.545,0.002
2459466.47448,9.528,0.002
2459466.47682,9.5,0.002
2459466.47916,9.467,0.002
2459466.48149,9.427,0.002
2459466.48383,9.414,0.002
2459466.48808,9.332,0.002
2459466.49042,9.307,0.002
2459466.49274,9.265,0.002
2459466.49509,9.243,0.002
2459466.49743,9.221,0.002
2459466.49976,9.2,0.002
2459466.50211,9.198,0.002
2459466.50446,9.182,0.002
2459466.50679,9.188,0.002
2459466.50913,9.185,0.002
2459466.51148,9.197,0.002
2459466.51382,9.198,0.002
2459466.51808,9.219,0.002
2459466.52042,9.21,0.002
2459466.52275,9.204,0.002
2459466.52509,9.194,0.002
2459466.52742,9.185,0.002
2459466.52976,9.19,0.002
2459466.53209,9.168,0.002
2459466.53443,9.17,0.002
2459466.53677,9.173,0.002
2459466.53911,9.161,0.002
2459466.54145,9.175,0.002
2459466.54378,9.168,0.002
2459466.54612,9.175,0.002
2459466.55052,9.187,0.002
2459466.55286,9.194,0.002
2459466.5552,9.196,0.003
2459466.55752,9.204,0.003
2459466.55986,9.244,0.002
2459466.56219,9.179,0.003
2459466.56453,9.265,0.002
2459466.56685,9.264,0.002
2459466.56919,9.24,0.002
2459466.57153,9.265,0.002
2459466.57388,9.29,0.002
2459466.57813,9.298,0.003
2459466.58046,9.29,0.002
2459466.5828,9.279,0.004
2459466.58747,9.346,0.002
2459466.5898,9.314,0.002
2459466.59213,9.324,0.002
2459466.59447,9.349,0.002
2459466.59681,9.403,0.003
2459466.59914,9.387,0.003
2459466.60147,9.352,0.003
2459466.60686,9.382,0.004
2459466.6092,9.407,0.002
2459466.61153,9.416,0.002
2459466.61387,9.432,0.002
