jd,mag,uncertainty
2460240.250041,9.1874,0.0108
2460240.250122,9.1993,0.0106
2460240.250214,9.1905,0.0108
2460240.250295,9.1555,0.0106
2460240.250376,9.1983,0.0108
2460240.250469,9.1608,0.0107
2460240.25055,9.1521,0.0106
2460240.250723,9.1853,0.0107
2460240.250816,9.1505,0.0105
2460240.250978,9.1768,0.0106
2460240.251591,9.1936,0.0106
2460240.251753,9.1564,0.0106
2460240.251846,9.1352,0.0107
2460240.251927,9.1505,0.0106
2460240.25202,9.1679,0.0106
2460240.252101,9.1981,0.0107
2460240.252193,9.1819,0.0106
2460240.252274,9.2282,0.0105
2460240.252876,9.1847,0.0105
2460240.25305,9.1741,0.0106
2460240.253142,9.1819,0.0106
2460240.253316,9.1916,0.0105
2460240.253571,9.1996,0.0106
2460240.253825,9.1896,0.0105
2460240.253918,9.1406,0.0105
2460240.253999,9.1409,0.0105
2460240.254253,9.1662,0.0103
2460240.254346,9.1815,0.0105
2460240.25452,9.1414,0.0104
2460240.254601,9.2033,0.0104
2460240.254693,9.1775,0.0106
2460240.254774,9.173,0.0106
2460240.254855,9.1615,0.0105
2460240.254948,9.1905,0.0105
2460240.255122,9.1709,0.0105
2460240.255203,9.155,0.0105
2460240.255284,9.1767,0.0105
2460240.255457,9.1679,0.0106
2460240.25555,9.2193,0.0105
2460240.255712,9.1856,0.0105
2460240.255804,9.1933,0.0105
2460240.255885,9.2148,0.0105
2460240.255978,9.1791,0.0104
2460240.256233,9.1634,0.0105
2460240.256314,9.1954,0.0104
2460240.25658,9.1883,0.0104
2460240.256661,9.1717,0.0104
2460240.256753,9.1763,0.0104
2460240.256834,9.157,0.0103
2460240.256927,9.1721,0.0104
2460240.257008,9.1412,0.0105
2460240.257089,9.2164,0.0105
2460240.257182,9.2051,0.0106
2460240.257263,9.1564,0.0104
2460240.257355,9.1699,0.0104
2460240.257436,9.1703,0.0104
2460240.257529,9.1787,0.0104
2460240.25761,9.1875,0.0105
2460240.257691,9.1782,0.0105
2460240.257784,9.1734,0.0106
2460240.257865,9.1807,0.0105
2460240.257957,9.1372,0.0104
2460240.258038,9.1749,0.0105
2460240.258212,9.1454,0.0104
2460240.258293,9.1755,0.0103
2460240.258385,9.1749,0.0104
2460240.258466,9.1835,0.0105
2460240.25864,9.1388,0.0104
2460240.258733,9.1867,0.0105
2460240.258814,9.1754,0.0104
2460240.258906,9.1595,0.0105
2460240.258987,9.198,0.0105
2460240.259161,9.1666,0.0103
2460240.259242,9.157,0.0104
2460240.259334,9.1662,0.0104
2460240.259416,9.1877,0.0104
2460240.259508,9.1673,0.0105
2460240.259589,9.1832,0.0105
2460240.259682,9.1683,0.0104
2460240.259763,9.1476,0.0104
2460240.259844,9.1753,0.0103
2460240.259936,9.1464,0.0105
2460240.260017,9.1868,0.0104
2460240.26011,9.1508,0.0104
2460240.260191,9.1704,0.0104
2460240.260365,9.1499,0.0104
2460240.260538,9.1841,0.0104
2460240.260619,9.1794,0.0103
2460240.260712,9.1659,0.0103
2460240.260793,9.1627,0.0104
2460240.260874,9.1653,0.0104
2460240.260966,9.1344,0.0103
2460240.261047,9.1487,0.0104
2460240.26114,9.1616,0.0105
2460240.261221,9.1581,0.0105
2460240.261302,9.1617,0.0105
2460240.261395,9.1559,0.0105
2460240.261476,9.1281,0.0105
2460240.261649,9.1784,0.0104
2460240.261742,9.1294,0.0105
2460240.261823,9.1462,0.0105
2460240.261904,9.1774,0.0105
2460240.261997,9.1504,0.0105
2460240.26217,9.1305,0.0105
2460240.262251,9.1915,0.0104
2460240.262332,9.1743,0.0105
2460240.262425,9.1661,0.0104
2460240.262506,9.21,0.0105
2460240.262598,9.1652,0.0104
2460240.262679,9.1865,0.0104
2460240.26276,9.1823,0.0104
2460240.262853,9.1446,0.0103
2460240.262934,9.1956,0.0104
2460240.263027,9.1472,0.0104
2460240.263108,9.1747,0.0104
2460240.263281,9.119,0.0103
2460240.263362,9.1669,0.0104
2460240.263455,9.1481,0.0104
2460240.263536,9.1751,0.0105
2460240.263628,9.159,0.0104
2460240.263709,9.1567,0.0103
2460240.263802,9.1704,0.0103
2460240.263883,9.22,0.0104
2460240.263964,9.1442,0.0104
2460240.264057,9.1761,0.0103
2460240.264138,9.1523,0.0104
2460240.264219,9.1521,0.0104
2460240.264311,9.1669,0.0103
2460240.264392,9.1619,0.0104
2460240.264485,9.1613,0.0105
2460240.264566,9.1831,0.0104
2460240.264659,9.1616,0.0103
2460240.26474,9.1774,0.0104
2460240.264994,9.1537,0.0104
2460240.265087,9.1767,0.0103
2460240.265168,9.1859,0.0105
2460240.265249,9.1384,0.0104
2460240.265341,9.174,0.0103
2460240.265422,9.1233,0.0104
2460240.265596,9.1817,0.0104
2460240.26577,9.2139,0.0104
2460240.265851,9.1549,0.0105
2460240.265943,9.1505,0.0103
2460240.266024,9.1454,0.0103
2460240.266117,9.171,0.0103
2460240.266198,9.1878,0.0104
2460240.266279,9.156,0.0103
2460240.266372,9.1597,0.0103
2460240.266453,9.1507,0.0104
2460240.266545,9.1933,0.0104
2460240.266719,9.1644,0.0104
2460240.267054,9.1836,0.0104
2460240.267147,9.1588,0.0103
2460240.267228,9.1437,0.0103
2460240.267321,9.182,0.0105
2460240.267402,9.1607,0.0103
2460240.267483,9.1834,0.0104
2460240.267575,9.1827,0.0103
2460240.267656,9.1732,0.0104
2460240.267749,9.191,0.0103
2460240.267911,9.1339,0.0104
2460240.268003,9.143,0.0103
2460240.268084,9.1448,0.0103
2460240.268177,9.1572,0.0103
2460240.268339,9.1758,0.0103
2460240.268432,9.2215,0.0105
2460240.268605,9.1694,0.0104
2460240.268686,9.1781,0.0104
2460240.26886,9.1706,0.0104
2460240.268941,9.1824,0.0103
2460240.269034,9.1886,0.0104
2460240.269115,9.1993,0.0104
2460240.269381,9.1796,0.0104
2460240.269543,9.1464,0.0104
2460240.269809,9.1653,0.0103
2460240.269971,9.1752,0.0103
2460240.270064,9.1662,0.0104
2460240.270145,9.1778,0.0102
2460240.270237,9.1779,0.0105
