jd,mag,uncertainty
2457644.58106,9.335,0.004
2457644.58231,9.341,0.004
2457644.58356,9.347,0.004
2457644.58483,9.343,0.004
2457644.58608,9.357,0.004
2457644.58734,9.356,0.004
2457644.58859,9.359,0.004
2457644.58984,9.37,0.004
2457644.5911,9.377,0.004
2457644.59236,9.368,0.004
2457644.59361,9.378,0.004
2457644.59486,9.392,0.004
2457644.59612,9.386,0.004
2457644.59738,9.389,0.004
2457644.59863,9.395,0.004
2457644.59988,9.399,0.004
2457644.60115,9.403,0.004
2457644.6024,9.407,0.004
2457644.60366,9.417,0.004
2457644.60492,9.413,0.004
2457644.60617,9.422,0.004
2457644.60743,9.419,0.004
2457644.60868,9.428,0.004
2457644.60993,9.423,0.004
2457644.61119,9.436,0.004
2457644.61244,9.431,0.004
2457644.6137,9.436,0.004
2457644.61495,9.457,0.004
2457644.61747,9.46,0.004
2457644.61873,9.461,0.004
2457644.61998,9.462,0.004
2457644.62124,9.46,0.004
2457644.62249,9.473,0.004
2457644.62375,9.468,0.004
2457644.625,9.478,0.004
2457644.62626,9.482,0.004
2457644.62752,9.486,0.004
2457644.62877,9.489,0.004
2457644.63003,9.494,0.004
2457644.63128,9.501,0.004
