jd,mag,uncertainty
2458784.237975,9.4528,0.012
2458784.238113,9.4479,0.0118
2458784.238252,9.478,0.0118
2458784.238391,9.4699,0.0118
2458784.238519,9.4549,0.0119
2458784.238657,9.4469,0.012
2458784.238796,9.4387,0.012
2458784.238935,9.4597,0.0118
2458784.239074,9.4627,0.0117
2458784.239213,9.4628,0.0118
2458784.239352,9.4634,0.0118
2458784.239479,9.476,0.0117
2458784.239618,9.4472,0.0119
2458784.239757,9.4504,0.0118
2458784.239896,9.4672,0.0117
2458784.240035,9.4876,0.0115
2458784.240174,9.495,0.0116
2458784.240301,9.4733,0.0117
2458784.24044,9.4664,0.0116
2458784.240579,9.4873,0.0116
2458784.240718,9.4451,0.0117
2458784.240856,9.4668,0.0116
2458784.240995,9.4616,0.0117
2458784.241134,9.4638,0.0117
2458784.241273,9.4573,0.0116
2458784.2414,9.4479,0.0117
2458784.241539,9.4735,0.0117
2458784.241678,9.4761,0.0117
2458784.241817,9.4583,0.0116
2458784.241956,9.4603,0.0116
2458784.242095,9.4601,0.0116
2458784.242234,9.4738,0.0117
2458784.242373,9.4613,0.0116
2458784.242512,9.4948,0.0115
2458784.24265,9.466,0.0116
2458784.242778,9.4641,0.0117
2458784.242917,9.4757,0.0116
2458784.243056,9.4706,0.0117
2458784.243194,9.4875,0.0115
2458784.243333,9.4541,0.0116
2458784.243472,9.514,0.0115
2458784.243611,9.4759,0.0115
2458784.24375,9.4549,0.0115
2458784.243877,9.4702,0.0116
2458784.244016,9.4419,0.0117
2458784.244155,9.4899,0.0115
2458784.244294,9.4884,0.0115
2458784.244433,9.4763,0.0115
2458784.244572,9.4742,0.0114
2458784.244711,9.4994,0.0115
2458784.24485,9.486,0.0116
2458784.244977,9.4724,0.0116
2458784.245116,9.4682,0.0116
2458784.245255,9.4804,0.0114
2458784.245394,9.5028,0.0115
2458784.245521,9.4924,0.0115
2458784.24566,9.4796,0.0115
2458784.245799,9.4553,0.0115
2458784.245938,9.5059,0.0115
2458784.246076,9.5147,0.0114
2458784.246204,9.4817,0.0115
2458784.246343,9.4889,0.0115
2458784.246481,9.4979,0.0114
2458784.24662,9.4833,0.0116
2458784.246759,9.4884,0.0114
2458784.246898,9.4736,0.0115
2458784.247037,9.4764,0.0115
2458784.247164,9.4853,0.0114
2458784.247303,9.5016,0.0115
2458784.247442,9.4854,0.0117
2458784.247581,9.4734,0.0117
2458784.247708,9.4766,0.0116
2458784.247847,9.4998,0.0115
2458784.247986,9.4878,0.0116
2458784.248125,9.4887,0.0116
2458784.248264,9.4644,0.0115
2458784.248403,9.5008,0.0115
2458784.24853,9.4802,0.0116
2458784.248669,9.4642,0.0115
2458784.248819,9.4949,0.0114
2458784.248958,9.4833,0.0115
2458784.249097,9.4864,0.0116
2458784.249236,9.5105,0.0114
2458784.249375,9.4957,0.0115
2458784.249514,9.5244,0.0113
2458784.249653,9.4886,0.0116
2458784.24978,9.506,0.0115
2458784.249919,9.522,0.0114
2458784.250058,9.4722,0.0115
2458784.250185,9.4981,0.0116
2458784.250324,9.4899,0.0115
2458784.250463,9.4985,0.0114
2458784.250602,9.5076,0.0115
2458784.250741,9.5076,0.0114
2458784.25088,9.5041,0.0114
2458784.251007,9.5125,0.0114
2458784.251146,9.5034,0.0115
2458784.251285,9.4989,0.0114
2458784.251424,9.5164,0.0114
2458784.251551,9.491,0.0115
2458784.25169,9.5142,0.0115
2458784.251829,9.4948,0.0114
2458784.251968,9.522,0.0115
2458784.252106,9.4902,0.0115
2458784.252234,9.5023,0.0115
2458784.252373,9.4866,0.0114
2458784.252512,9.4873,0.0114
2458784.25265,9.4793,0.0113
2458784.252789,9.5212,0.0114
2458784.252917,9.5108,0.0113
2458784.253056,9.4972,0.0114
2458784.253194,9.5036,0.0114
2458784.253333,9.5252,0.0115
2458784.253472,9.5339,0.0115
2458784.253611,9.5056,0.0115
2458784.253738,9.5055,0.0114
2458784.253877,9.5156,0.0113
2458784.254016,9.4999,0.0116
2458784.254144,9.548,0.0114
2458784.254282,9.4947,0.0115
2458784.254421,9.503,0.0115
2458784.254549,9.4977,0.0114
2458784.254688,9.5334,0.0115
2458784.254826,9.5293,0.0114
2458784.254965,9.5196,0.0115
2458784.255104,9.514,0.0114
2458784.255231,9.5181,0.0114
2458784.25537,9.5357,0.0113
2458784.255509,9.5168,0.0115
2458784.255648,9.5204,0.0114
2458784.255787,9.5221,0.0114
2458784.255926,9.5254,0.0115
2458784.256065,9.5221,0.0114
2458784.256192,9.5304,0.0114
2458784.256331,9.5188,0.0116
2458784.256481,9.5436,0.0114
2458784.25662,9.5385,0.0113
