jd,mag,uncertainty
2457706.47205,9.742,0.006
2457706.4733,9.731,0.006
2457706.47455,9.751,0.006
2457706.47581,9.732,0.006
2457706.47706,9.722,0.006
2457706.47956,9.731,0.006
2457706.48082,9.736,0.006
2457706.48207,9.725,0.006
2457706.48332,9.716,0.006
2457706.48458,9.723,0.006
2457706.48583,9.711,0.006
2457706.48709,9.709,0.006
2457706.48834,9.71,0.006
2457706.48959,9.693,0.006
2457706.49086,9.704,0.006
2457706.49211,9.697,0.006
2457706.49337,9.683,0.006
2457706.49462,9.686,0.006
2457706.49587,9.683,0.006
2457706.49713,9.669,0.006
2457706.49838,9.671,0.006
2457706.49963,9.664,0.006
2457706.50089,9.648,0.006
2457706.50214,9.651,0.006
2457706.50339,9.63,0.006
2457706.50465,9.625,0.006
2457706.5059,9.618,0.006
2457706.50716,9.609,0.006
2457706.50841,9.608,0.006
2457706.50966,9.595,0.006
2457706.51093,9.588,0.006
2457706.51218,9.588,0.006
2457706.51343,9.557,0.006
2457706.52709,9.398,0.005
2457706.52833,9.379,0.005
2457706.52959,9.371,0.005
2457706.53084,9.341,0.005
2457706.53211,9.34,0.005
2457706.53336,9.313,0.005
2457706.53461,9.311,0.005
2457706.53586,9.284,0.005
2457706.53711,9.273,0.005
2457706.53834,9.259,0.005
2457706.53959,9.241,0.005
2457706.54084,9.234,0.005
2457706.54209,9.22,0.005
2457706.54334,9.208,0.005
2457706.54459,9.205,0.005
2457706.54584,9.201,0.005
2457706.54704,9.189,0.006
2457706.54806,9.194,0.006
2457706.54907,9.197,0.006
2457706.5501,9.194,0.006
2457706.55112,9.183,0.006
2457706.55215,9.186,0.006
2457706.55317,9.191,0.006
2457706.55419,9.198,0.006
2457706.55521,9.213,0.006
2457706.55623,9.206,0.006
2457706.55725,9.21,0.006
2457706.55826,9.216,0.006
2457706.55928,9.21,0.006
2457706.5603,9.216,0.006
2457706.56132,9.202,0.006
2457706.56234,9.213,0.006
2457706.56336,9.203,0.006
2457706.56438,9.217,0.006
2457706.56539,9.205,0.006
2457706.56797,9.195,0.006
2457706.56922,9.194,0.006
2457706.57047,9.195,0.006
2457706.57171,9.205,0.006
2457706.57297,9.174,0.006
2457706.57422,9.195,0.006
2457706.57547,9.186,0.006
2457706.57672,9.178,0.006
2457706.57796,9.165,0.006
2457706.57921,9.178,0.006
2457706.58046,9.172,0.006
2457706.58171,9.175,0.006
2457706.58296,9.175,0.006
2457706.58421,9.17,0.006
2457706.58546,9.166,0.006
2457706.58671,9.177,0.006
2457706.58796,9.177,0.006
2457706.5892,9.188,0.006
2457706.59045,9.175,0.006
2457706.5917,9.178,0.006
2457706.59295,9.193,0.006
2457706.5942,9.198,0.006
2457706.59545,9.203,0.006
2457706.5967,9.199,0.006
2457706.59796,9.199,0.006
2457706.5992,9.199,0.006
2457706.60046,9.213,0.006
2457706.60171,9.212,0.006
2457706.60296,9.229,0.006
2457706.60421,9.217,0.006
2457706.60546,9.235,0.006
2457706.60671,9.234,0.006
2457706.60796,9.24,0.006
2457706.60921,9.255,0.006
2457706.61046,9.246,0.006
2457706.61171,9.252,0.006
2457706.61296,9.25,0.006
2457706.61421,9.265,0.006
2457706.61546,9.27,0.006
2457706.61671,9.283,0.006
2457706.61795,9.282,0.006
2457706.61921,9.274,0.006
2457706.62045,9.295,0.006
2457706.62171,9.298,0.006
2457706.62295,9.304,0.006
2457706.6242,9.298,0.006
2457706.62545,9.311,0.006
2457706.6267,9.314,0.006
2457706.62795,9.322,0.006
2457706.6292,9.32,0.006
2457706.63045,9.319,0.006
2457706.6317,9.343,0.006
2457706.63295,9.34,0.006
2457706.6342,9.337,0.006
2457706.63545,9.342,0.006
2457706.63794,9.358,0.006
2457706.63919,9.357,0.006
2457706.64044,9.366,0.006
2457706.64169,9.381,0.006
2457706.64294,9.376,0.006
2457706.64419,9.391,0.006
2457706.64544,9.383,0.006
2457706.64669,9.388,0.006
2457706.64794,9.399,0.006
2457706.64919,9.401,0.006
2457706.65044,9.385,0.006
