jd,mag,uncertainty
2458773.25581,9.6958,0.0128
2458773.256076,9.6931,0.0128
2458773.256215,9.6887,0.0131
2458773.256354,9.6779,0.013
2458773.256493,9.6951,0.013
2458773.256632,9.6934,0.0128
2458773.256771,9.6861,0.0128
2458773.256898,9.6761,0.013
2458773.257037,9.6869,0.0128
2458773.257176,9.6804,0.0129
2458773.257315,9.684,0.0128
2458773.257454,9.6861,0.0128
2458773.257593,9.688,0.0128
2458773.25772,9.6738,0.0127
2458773.257859,9.6684,0.0128
2458773.257998,9.6902,0.0128
2458773.258137,9.6559,0.0127
2458773.258275,9.6851,0.0127
2458773.258414,9.6876,0.0127
2458773.258553,9.6838,0.0129
2458773.258692,9.7029,0.0127
2458773.258958,9.6947,0.0127
2458773.259097,9.6837,0.0128
2458773.259236,9.6777,0.0127
2458773.259375,9.6913,0.0127
2458773.259514,9.6651,0.0127
2458773.25978,9.6801,0.0126
2458773.259919,9.6693,0.0125
2458773.260058,9.6793,0.0126
2458773.260197,9.7003,0.0125
2458773.260336,9.6855,0.0125
2458773.260475,9.6597,0.0124
2458773.260602,9.6703,0.0125
2458773.260741,9.6756,0.0125
2458773.26088,9.6573,0.0125
2458773.261019,9.6836,0.0124
2458773.261157,9.688,0.0124
2458773.261424,9.66,0.0125
2458773.261563,9.6609,0.0125
2458773.261701,9.6841,0.0125
2458773.26184,9.6783,0.0124
2458773.261979,9.6501,0.0125
2458773.262118,9.6669,0.0124
2458773.262245,9.6741,0.0124
2458773.262384,9.6594,0.0124
2458773.262523,9.6739,0.0124
2458773.262662,9.6804,0.0124
2458773.262801,9.6695,0.0123
2458773.26294,9.6876,0.0124
2458773.263067,9.6737,0.0123
2458773.263206,9.6683,0.0123
2458773.263345,9.6729,0.0123
2458773.263484,9.6471,0.0125
2458773.263623,9.6858,0.0124
2458773.263762,9.665,0.0124
2458773.263889,9.6628,0.0123
2458773.264028,9.6757,0.0124
2458773.264167,9.6663,0.0123
2458773.264306,9.6699,0.0123
2458773.264444,9.668,0.0123
2458773.264583,9.6494,0.0124
2458773.264711,9.6596,0.0123
2458773.264838,9.6835,0.0123
2458773.264977,9.6387,0.0123
2458773.265116,9.6675,0.0123
2458773.265255,9.6693,0.0123
2458773.265394,9.6696,0.0123
2458773.265671,9.6435,0.0122
2458773.26581,9.6454,0.0123
2458773.265938,9.6384,0.0123
2458773.266076,9.6649,0.0122
2458773.266215,9.6468,0.0122
2458773.266354,9.6633,0.0122
2458773.266493,9.6722,0.0122
2458773.266632,9.6523,0.0121
2458773.266771,9.6569,0.0122
2458773.266898,9.619,0.0123
2458773.267037,9.6467,0.0121
2458773.267176,9.6488,0.0121
2458773.267315,9.643,0.0122
2458773.267454,9.6523,0.0122
2458773.267581,9.6425,0.0123
2458773.26772,9.6513,0.0122
2458773.267859,9.6478,0.0122
2458773.267998,9.6418,0.0122
2458773.268137,9.6239,0.0122
2458773.268275,9.6497,0.0121
2458773.268414,9.6199,0.0122
2458773.268542,9.6233,0.0122
2458773.268681,9.6219,0.0122
2458773.268819,9.6401,0.0121
2458773.268958,9.6338,0.0122
2458773.269097,9.6623,0.0122
2458773.269236,9.6434,0.0121
2458773.269363,9.6397,0.0121
2458773.269502,9.6323,0.0121
2458773.269641,9.6277,0.0122
2458773.26978,9.6549,0.0121
2458773.269907,9.6319,0.0122
2458773.270046,9.6315,0.0121
2458773.270313,9.6281,0.0122
2458773.270451,9.644,0.0121
2458773.27059,9.626,0.0121
2458773.270729,9.6216,0.0122
2458773.270856,9.6324,0.012
2458773.270995,9.6375,0.0121
2458773.271134,9.6294,0.0122
2458773.271273,9.6096,0.0122
2458773.271412,9.6377,0.0119
2458773.271551,9.6451,0.0121
2458773.271678,9.6365,0.0121
2458773.271817,9.6131,0.0121
2458773.271956,9.603,0.012
2458773.272095,9.626,0.0121
2458773.272234,9.6239,0.0121
2458773.272361,9.6106,0.0122
2458773.2725,9.6123,0.0121
2458773.272639,9.6053,0.0123
2458773.272778,9.6245,0.0122
2458773.272905,9.6108,0.0121
2458773.273044,9.6131,0.0123
2458773.273183,9.6158,0.0121
2458773.273322,9.606,0.0122
2458773.273461,9.6332,0.0121
2458773.2736,9.6074,0.0121
2458773.273738,9.6116,0.0122
2458773.273877,9.6215,0.0121
2458773.274005,9.6208,0.0121
2458773.274144,9.6069,0.012
2458773.274282,9.6146,0.0121
2458773.274421,9.5729,0.0121
2458773.27456,9.5797,0.0122
2458773.274688,9.602,0.012
2458773.274826,9.6061,0.0121
2458773.274965,9.6071,0.0121
2458773.275104,9.5952,0.012
2458773.275243,9.5967,0.012
2458773.275382,9.5985,0.0121
2458773.275521,9.6232,0.0121
2458773.275787,9.5735,0.0121
2458773.275926,9.6217,0.0121
2458773.276065,9.6099,0.0121
2458773.276204,9.5757,0.0121
2458773.276331,9.5947,0.012
2458773.27647,9.6205,0.012
2458773.276609,9.6059,0.0122
2458773.276748,9.5912,0.0122
2458773.276887,9.5844,0.0121
2458773.277025,9.6064,0.0121
2458773.277164,9.6273,0.0121
2458773.277292,9.6085,0.012
2458773.277431,9.5969,0.0119
2458773.277569,9.6041,0.012
2458773.277708,9.5998,0.012
2458773.277847,9.5974,0.012
2458773.277975,9.5692,0.0121
2458773.278113,9.5925,0.012
2458773.278391,9.6009,0.012
2458773.27853,9.5838,0.0121
2458773.278669,9.5978,0.0121
2458773.278796,9.5582,0.0121
2458773.278935,9.5643,0.012
2458773.279074,9.5837,0.012
2458773.279213,9.5781,0.012
2458773.279352,9.562,0.0119
2458773.279479,9.5808,0.0119
2458773.279618,9.5704,0.012
2458773.279757,9.5803,0.012
2458773.279896,9.5666,0.0121
2458773.280035,9.5661,0.012
2458773.280174,9.5682,0.0121
2458773.280313,9.5376,0.0121
2458773.28044,9.5399,0.0121
2458773.280579,9.5582,0.0121
2458773.280845,9.5539,0.0119
2458773.280984,9.5642,0.012
2458773.281123,9.5641,0.012
2458773.281262,9.5444,0.0121
2458773.2814,9.5834,0.012
2458773.281539,9.5523,0.012
2458773.281667,9.5486,0.0121
2458773.281806,9.5244,0.0122
2458773.281944,9.5392,0.0121
2458773.282083,9.5548,0.012
2458773.28235,9.5354,0.012
2458773.282488,9.5105,0.0121
2458773.282627,9.5298,0.0121
2458773.282766,9.5152,0.012
2458773.282905,9.5456,0.012
2458773.283032,9.5502,0.012
2458773.283171,9.5191,0.0121
2458773.28331,9.5428,0.0119
2458773.283449,9.5113,0.0122
2458773.283576,9.545,0.0119
2458773.283715,9.5361,0.0119
2458773.283854,9.5298,0.012
2458773.283993,9.5153,0.0119
2458773.284132,9.5357,0.012
2458773.284271,9.5089,0.012
2458773.284398,9.5155,0.012
2458773.284537,9.5229,0.012
2458773.284676,9.5065,0.012
2458773.284815,9.5088,0.0118
2458773.284954,9.5308,0.012
2458773.285081,9.5021,0.0119
2458773.28522,9.5024,0.0119
2458773.285359,9.5225,0.0118
2458773.285498,9.5017,0.0119
2458773.285637,9.4981,0.012
2458773.285775,9.4984,0.0119
2458773.285903,9.5168,0.0117
2458773.286042,9.514,0.0118
2458773.286181,9.4957,0.0118
2458773.286319,9.4951,0.0119
2458773.286597,9.5128,0.0118
2458773.286736,9.4862,0.012
2458773.286875,9.5072,0.0118
2458773.287002,9.4863,0.0118
2458773.287141,9.4844,0.0119
2458773.28728,9.4886,0.0118
2458773.287558,9.4845,0.0119
2458773.287697,9.4532,0.0119
2458773.287836,9.4791,0.0119
2458773.287963,9.4857,0.0119
2458773.288102,9.4867,0.0119
2458773.288241,9.494,0.0118
2458773.28838,9.4645,0.0119
2458773.288519,9.5004,0.0119
2458773.288646,9.4659,0.0118
2458773.288785,9.4734,0.0118
2458773.288924,9.4672,0.0119
2458773.289051,9.4529,0.0118
2458773.28919,9.4588,0.0119
2458773.289329,9.4589,0.0118
2458773.289468,9.4754,0.012
2458773.289606,9.4439,0.0119
2458773.289745,9.4326,0.0118
2458773.289873,9.4528,0.0119
2458773.290012,9.4567,0.0118
2458773.29015,9.438,0.0119
2458773.290289,9.4354,0.0119
2458773.290428,9.4551,0.0119
2458773.290556,9.4309,0.012
2458773.290694,9.4507,0.0118
2458773.290833,9.4704,0.0117
2458773.290972,9.4275,0.0119
2458773.291111,9.4484,0.0117
2458773.29125,9.4516,0.0119
2458773.291377,9.4252,0.0118
2458773.291516,9.4412,0.0119
2458773.291794,9.4299,0.0119
2458773.291921,9.4286,0.0119
2458773.29206,9.4206,0.0118
2458773.292199,9.4389,0.0117
2458773.292338,9.4229,0.0118
2458773.292477,9.4278,0.0118
2458773.292616,9.433,0.0118
2458773.292743,9.3991,0.0117
2458773.292882,9.4135,0.0118
2458773.293021,9.4335,0.0117
2458773.29316,9.4204,0.0117
2458773.293299,9.4059,0.0118
2458773.293426,9.3967,0.0117
2458773.293565,9.3853,0.0118
2458773.293704,9.3978,0.0116
2458773.293843,9.3921,0.0118
2458773.293981,9.4214,0.0117
2458773.294248,9.3946,0.0117
2458773.294525,9.395,0.0118
2458773.294664,9.3956,0.0116
2458773.294792,9.382,0.0116
2458773.294931,9.3936,0.0117
2458773.295069,9.4129,0.0116
2458773.295208,9.3875,0.0117
2458773.295347,9.3667,0.0117
2458773.295486,9.363,0.0118
2458773.295625,9.3864,0.0116
2458773.295752,9.3866,0.0117
2458773.295891,9.3839,0.0118
2458773.29603,9.3915,0.0117
2458773.296169,9.3711,0.0118
2458773.296308,9.4021,0.0116
2458773.296447,9.3611,0.0117
2458773.296574,9.3631,0.0118
2458773.296713,9.3509,0.0116
2458773.296852,9.342,0.0117
2458773.296991,9.3676,0.0115
2458773.29713,9.3547,0.0117
2458773.297269,9.345,0.012
2458773.297407,9.3694,0.0116
2458773.297535,9.3357,0.0118
2458773.297674,9.3475,0.0116
2458773.297813,9.3427,0.0117
2458773.29794,9.3464,0.0117
2458773.29809,9.3476,0.0117
2458773.298218,9.3292,0.0117
2458773.298356,9.3215,0.0119
2458773.298495,9.3669,0.0116
2458773.298634,9.3183,0.0116
2458773.298773,9.3218,0.0117
2458773.298912,9.3035,0.0117
2458773.299039,9.3441,0.0117
2458773.299178,9.3144,0.0116
2458773.299317,9.3343,0.0116
2458773.299456,9.3119,0.0118
2458773.299595,9.3178,0.0115
2458773.299722,9.3149,0.0116
2458773.299861,9.33,0.0116
2458773.3,9.3143,0.0117
2458773.300139,9.3059,0.0117
2458773.300278,9.3155,0.0115
2458773.300417,9.3319,0.0115
2458773.300556,9.2943,0.0117
2458773.300683,9.2976,0.0117
2458773.300822,9.2974,0.0117
2458773.300961,9.3271,0.0115
2458773.3011,9.3073,0.0116
2458773.301377,9.289,0.0116
2458773.301516,9.2984,0.0116
2458773.301655,9.2816,0.0115
2458773.301782,9.2973,0.0116
2458773.301921,9.2794,0.0115
2458773.30206,9.2855,0.0116
2458773.302199,9.2587,0.0115
2458773.302338,9.2772,0.0116
2458773.302477,9.2727,0.0117
2458773.302616,9.2685,0.0116
2458773.302755,9.2543,0.0117
2458773.302894,9.2641,0.0118
2458773.303032,9.2657,0.0116
2458773.303171,9.2668,0.0117
2458773.303299,9.2666,0.0116
2458773.303437,9.266,0.0115
2458773.303576,9.2713,0.0116
2458773.303715,9.2674,0.0116
2458773.303854,9.2545,0.0116
2458773.303993,9.2471,0.0116
2458773.304132,9.2619,0.0115
2458773.304271,9.2492,0.0115
2458773.30441,9.2797,0.0116
2458773.304537,9.2398,0.0117
2458773.304676,9.2441,0.0116
2458773.304815,9.258,0.0115
