jd,mag,uncertainty
2459114.28827,9.7031,0.0135
2459114.288466,9.7312,0.0133
2459114.288663,9.7148,0.0135
2459114.288848,9.7207,0.0134
2459114.289045,9.7103,0.0131
2459114.289242,9.7365,0.0131
2459114.289439,9.7059,0.0132
2459114.289635,9.7086,0.0129
2459114.289832,9.7013,0.0132
2459114.290029,9.7059,0.0128
2459114.290226,9.7221,0.0129
2459114.290422,9.7252,0.0126
2459114.290619,9.6966,0.0128
2459114.290816,9.7061,0.0129
2459114.291013,9.7195,0.0127
2459114.291209,9.7401,0.0125
2459114.291406,9.7296,0.0125
2459114.291615,9.7105,0.0126
2459114.291811,9.7173,0.0124
2459114.292008,9.7154,0.0124
2459114.292205,9.7318,0.0123
2459114.292413,9.7242,0.0125
2459114.29261,9.6863,0.0124
2459114.292807,9.7339,0.0122
2459114.292992,9.6979,0.0123
2459114.2932,9.7112,0.0122
2459114.293385,9.7236,0.0123
2459114.293582,9.7178,0.0121
2459114.293791,9.701,0.0121
2459114.293976,9.7291,0.0121
2459114.294172,9.7238,0.0121
2459114.294369,9.6834,0.0121
2459114.294566,9.7167,0.0121
2459114.294763,9.693,0.012
2459114.294948,9.7049,0.0119
2459114.295145,9.7052,0.0118
2459114.295341,9.7056,0.0119
2459114.295538,9.7143,0.0118
2459114.295735,9.6953,0.012
2459114.295932,9.7033,0.0118
2459114.296128,9.7158,0.0119
2459114.296314,9.7222,0.0118
2459114.29651,9.7305,0.0118
2459114.296707,9.7339,0.0117
2459114.296904,9.7109,0.0118
2459114.297101,9.7126,0.0118
2459114.297286,9.6986,0.0119
2459114.297483,9.7313,0.0118
2459114.297679,9.6967,0.0118
2459114.297876,9.6799,0.0119
2459114.298073,9.7218,0.0117
2459114.29827,9.7065,0.0118
2459114.298466,9.7087,0.0117
2459114.298663,9.7047,0.0117
2459114.29886,9.7117,0.0117
2459114.299057,9.6847,0.0116
2459114.299242,9.6971,0.0116
2459114.299439,9.696,0.0118
2459114.299635,9.6989,0.0116
2459114.299832,9.7141,0.0116
2459114.300029,9.6972,0.0115
2459114.300226,9.6773,0.0116
2459114.300422,9.7114,0.0117
2459114.300619,9.7103,0.0116
2459114.300816,9.7004,0.0116
2459114.301013,9.6894,0.0116
2459114.301198,9.688,0.0115
2459114.301395,9.699,0.0115
2459114.301591,9.7127,0.0115
2459114.301788,9.6723,0.0116
2459114.301985,9.7015,0.0114
2459114.302182,9.7111,0.0115
2459114.30239,9.6865,0.0115
2459114.302587,9.6729,0.0115
2459114.302784,9.6872,0.0115
2459114.30298,9.6737,0.0115
2459114.303177,9.6735,0.0114
2459114.303362,9.7005,0.0114
2459114.303571,9.6745,0.0115
2459114.303767,9.6821,0.0115
2459114.303953,9.7005,0.0117
2459114.304161,9.6857,0.0115
2459114.304358,9.6838,0.0147
2459114.304543,9.6667,0.0114
2459114.304751,9.628,0.0125
2459114.304948,9.6945,0.0115
2459114.305133,9.6896,0.0115
2459114.30533,9.6883,0.0115
2459114.305527,9.6644,0.0115
2459114.305723,9.6845,0.0114
2459114.30592,9.7002,0.0115
2459114.306117,9.6607,0.0116
2459114.306314,9.6897,0.0114
2459114.30651,9.6715,0.0114
2459114.306707,9.6754,0.0114
2459114.306904,9.7166,0.0115
2459114.307101,9.6857,0.0114
2459114.307286,9.6863,0.0114
2459114.307494,9.6737,0.0113
2459114.307691,9.6733,0.0114
2459114.307888,9.6812,0.0113
2459114.308084,9.6623,0.0114
2459114.308281,9.6186,0.0115
