JD,mag_L,err_L,epoch,mag_R,err_R,mag_G,err_G,mag_B,err_B
2460259.3627023725,11.116218982642476,0.0060124568776928,3,,,,,,
2460259.363741146,11.11104776612722,0.0075518010080013,3,,,,,,
2460259.365130602,11.089603412124251,0.0049600025451248,3,,,,,,
2460259.366486736,11.105084469227776,0.0095690214210634,3,,,,,,
2460259.3674828354,11.109441006776246,0.0076007893193698,3,,,,,,
2460259.3683923613,11.07709766115356,0.0077337009433407,3,,,,,,
2460259.371162604,11.087687803454042,0.0074531038432919,3,,,,,,
2460259.3435314237,10.906177819683156,0.0047890255575089,3,,,,,,
2460259.345211806,10.928275767924912,0.0052153048821993,3,,,,,,
2460259.347418368,10.971828542584918,0.0070373784334865,3,,,,,,
2460259.348942303,10.983378640511203,0.0070487256700447,3,,,,,,
2460259.350231435,11.014275550898915,0.0046875909887178,3,,,,,,
2460259.35128375,11.005260490739296,0.0049639599200589,3,,,,,,
2460259.3535363656,11.059469348896458,0.0046826470058953,3,,,,,,
2460259.3547573495,11.044742832575782,0.0045683171819738,3,,,,,,
2460259.355782118,11.050943844688303,0.0047274328310564,3,,,,,,
2460259.3596458333,11.086780549190609,0.00592998722294,3,,,,,,
2460259.3749048146,11.070944147805768,0.0062291799444419,3,,,,,,
2460259.3757296414,11.094418685017365,0.0085417629864876,3,,,,,,
2460259.3765461226,11.079393053666296,0.0071626312978763,3,,,,,,
2460259.377369734,11.089010358492027,0.0054987810201781,3,,,,,,
2460259.378194537,11.082682083502606,0.0048746481634816,3,,,,,,
2460259.379024641,11.069358041680031,0.0069172948061158,3,,,,,,
2460259.379839132,11.065634100570575,0.0055404914935258,3,,,,,,
2460259.380660162,11.095470405322454,0.0069548566518606,3,,,,,,
2460259.3814787962,11.09049046349464,0.006361224904564,3,,,,,,
2460259.382355,11.084231493808304,0.0049799545564374,3,,,,,,
2460259.3831748497,11.08984939862607,0.0073472851942315,3,,,,,,
2460259.383990278,11.08461281476428,0.0194855591956725,3,,,,,,
2460259.3857356017,11.081041319586893,0.0080675349910915,3,,,,,,
2460259.386564375,11.068598729557197,0.0074344767947343,3,,,,,,
2460259.387381308,11.097079058065486,0.0063519053295372,3,,,,,,
2460259.3881986574,11.088883420569683,0.0054622135860702,3,,,,,,
2460259.38908625,11.096067531316562,0.0064352597746151,3,,,,,,
2460259.389923704,11.07220342304908,0.0054743203423107,3,,,,,,
2460259.390740266,11.090990697513462,0.0067553017085954,3,,,,,,
2460259.3915556134,11.082267729595836,0.0104963654813625,3,,,,,,
2460259.3923629746,11.082419720188271,0.0086242792273652,3,,,,,,
2460259.3931612037,11.085853674226726,0.0070463826302807,3,,,,,,
2460259.3939808565,11.089536701430363,0.0083320074720365,3,,,,,,
2460259.394799167,11.118362304090262,0.010453079442385,3,,,,,,
2460259.395601551,11.10625288002488,0.0092513389919862,3,,,,,,
2460259.3964288775,11.11252629848014,0.0099574406906399,3,,,,,,
2460259.397236817,11.114386236973331,0.0085818988048867,3,,,,,,
2460259.3980362383,11.098976432230693,0.0091394555394613,3,,,,,,
2460259.398833125,11.076721895056725,0.0124464883906587,3,,,,,,
2460259.3996417825,10.989457579146505,0.0418795295353375,3,,,,,,
2460317.30431338,10.536191383562247,0.0042826435311663,4,,,,,,
2460317.3055320256,10.535007005027952,0.0062546435063136,4,,,,,,
2460317.30677537,10.541416004856703,0.0037470670448784,4,,,,,,
2460317.308008831,10.527195229308088,0.0041983784113188,4,,,,,,
2460317.3092401274,10.538283692393684,0.0046454973044391,4,,,,,,
2460317.3104685415,10.54803275865594,0.0053061573650975,4,,,,,,
2460317.311689618,10.543344456152996,0.0038765992750756,4,,,,,,
2460317.312908449,10.550009402486218,0.0037401548393359,4,,,,,,
2460317.314139583,10.559072949136551,0.0059091963222072,4,,,,,,
2460317.3218000345,10.56153945998647,0.0053220845411252,4,,,,,,
2460317.3230450577,10.574730456184383,0.0046670402100066,4,,,,,,
2460317.324298993,10.564239635139431,0.0051265350093494,4,,,,,,
2460317.325554595,10.577155782801146,0.0049020133447782,4,,,,,,
2460317.326808762,10.594579257506169,0.0054797463985304,4,,,,,,
2460317.3280604975,10.59594480440722,0.0057692768983291,4,,,,,,
2460317.3292994443,10.585376698477528,0.0061756837602477,4,,,,,,
2460317.333167604,10.610436294950096,0.0064500447495292,4,,,,,,
