start_jd,end_jd,best_period_days,best_frequency
2458773.25581,2458773.730694,0.3078022480606519,3.248839169631249
2458784.237975,2458784.583831,0.31344827586206897,3.1903190319031904
2458827.195874,2458827.486082,0.3190491384811742,3.1343134313431342
2459114.28827,2459114.684508,0.30762908528331073,3.250667923935251
2459454.349948,2459454.667286,0.2964850302444975,3.372851570871373
2459485.281372,2459485.637297,0.3080840537352325,3.2458674438872457
2455886.507942,2455886.521993,0.2503576896112629,3.9942851427999946
2455938.425498,2455938.509564,0.34094363151023904,2.9330361607589333
2455945.42735,2455946.473962,0.263460409232576,3.7956367065277954
2455947.520594,2455947.520594,0.35,2.857142857142857
2455953.436694,2455953.469136,0.3390673745809677,2.9492663552069494
2455956.436381,2455956.466917,0.35,2.857142857142857
2456864.650428,2456864.853854,0.25,4.0
2457619.76674,2457620.83206,0.25922181236389497,3.8577000557198575
2457623.65303,2457624.87383,0.30879083064217266,3.2384381295272386
2457627.76778,2457627.86589,0.3215585203153426,3.10985384252711
2457644.58106,2457644.63128,0.2626221315042999,3.8077522037918077
2455887.583785,2455888.570255,0.25215433388572667,3.9658251539439657
2457672.48215,2457672.74352,0.3094680154926339,3.231351706599231
2457706.47205,2457706.65044,0.2839656935135749,3.5215521552155216
2458537.355876,2458537.453531,0.32239981575310916,3.101738745303102
2458773.25581,2458773.730694,0.3078022480606519,3.248839169631249
2458784.237975,2458784.583831,0.31344827586206897,3.1903190319031904
2458827.195874,2458827.486082,0.3190491384811742,3.1343134313431342
2459114.28827,2459114.684508,0.30762908528331073,3.250667923935251
2459454.349948,2459454.667286,0.2964850302444975,3.372851570871373
2459466.32834,2459466.61387,0.2869082949384315,3.4854342577114856
2459485.281372,2459485.637297,0.3080840537352325,3.2458674438872457
2455904.474221,2455905.529051,0.2672916825784771,3.7412312659837412
2459496.31804,2459496.52205,0.28323945029864517,3.5305816295915307
2460192.332865,2460192.421082,0.3296270132805877,3.033731944623034
2460240.250041,2460240.358686,0.3412361785526239,2.9305216235909306
2455907.411343,2455908.541782,0.250924930092493,3.985255668423985
2455912.513152,2455912.618758,0.2830836555417145,3.5325246810395328
2455916.54838,2455916.54838,0.35,2.857142857142857
2455925.549232,2455925.549232,0.35,2.857142857142857
2455929.60439,2455929.60439,0.35,2.857142857142857
2455936.501659,2455936.501659,0.35,2.857142857142857
