JD,mag_L,err_L,epoch,mag_R,err_R,mag_G,err_G,mag_B,err_B
2459659.3966754167,9.454041052303468,0.0052931804494135,1,,,,,,
2459659.398286609,9.458796308180338,0.0051630515848408,1,,,,,,
2459659.399949595,9.468113931131024,0.0338950798394899,1,,,,,,
2459659.401585347,9.464160027643324,0.0391333848232224,1,,,,,,
2459659.4032833567,9.468323761635268,0.0210492629797866,1,,,,,,
2459659.404837604,9.480653462092436,0.024940380136112,1,,,,,,
2459659.406409861,9.51144952837688,0.0184341056053092,1,,,,,,
2459659.407994595,9.510228858657056,0.0288004515105499,1,,,,,,
2459659.4127003355,9.54968244961035,0.039306730024892,1,,,,,,
2459659.4143273844,9.574874631851468,0.0392778348958619,1,,,,,,
2459659.4159478243,9.578135813331278,0.0402130752061269,1,,,,,,
2459659.417551713,9.603599102498858,0.0430859529862893,1,,,,,,
2459659.4305024655,9.82419115865522,0.0354222274567576,1,,,,,,
2459659.432115706,9.872449621236514,0.0317343502381617,1,,,,,,
2459659.4336955557,9.904636679204907,0.0332781999016245,1,,,,,,
2459659.4352572686,9.923859700013937,0.0117637119147952,1,,,,,,
2459659.436907014,9.984290778495703,0.0124106270106649,1,,,,,,
2459659.4385162382,10.000031060219918,0.0098742386997788,1,,,,,,
2459659.440100637,10.056643154140245,0.0098967133519436,1,,,,,,
2459659.4417063887,10.07698879746092,0.0139277880004375,1,,,,,,
2459659.443346852,10.098517022605275,0.005709291068632,1,,,,,,
2459659.44493463,10.135482212479168,0.0061692915614017,1,,,,,,
2459659.4465179513,10.167158073636458,0.0057302434805773,1,,,,,,
2459659.4481237847,10.199370501538196,0.0072989009712071,1,,,,,,
2459659.4497609837,10.204147442772634,0.0044436173753657,1,,,,,,
2459659.4513362385,10.214255016868062,0.0039835861553192,1,,,,,,
2459659.452913611,10.22010498373928,0.0050326297424225,1,,,,,,
2459659.4544821642,10.23456392625367,0.0042307095450977,1,,,,,,
2459659.456138021,10.23419453901184,0.005113282869961,1,,,,,,
2459659.4577353243,10.25498407084813,0.0039534633047269,1,,,,,,
2459659.4593101735,10.251327765550393,0.0064338683287592,1,,,,,,
2459659.4651750117,10.243645659771571,0.0077849576670616,1,,,,,,
2459659.466819155,10.238211873640298,0.004442596744685,1,,,,,,
2459659.4684440973,10.225081284367956,0.0047557518309179,1,,,,,,
2459659.470038148,10.2377357845477,0.0046640666262506,1,,,,,,
2459659.4717371413,10.209142083730132,0.0060209277402968,1,,,,,,
2459659.4733997453,10.212305702525768,0.0054335566284311,1,,,,,,
2459659.4750453588,10.212222108179745,0.004862340542044,1,,,,,,
2459659.4766968517,10.205124163586056,0.0052862663991997,1,,,,,,
2459659.4783522105,10.191952859641676,0.0043841976468121,1,,,,,,
2459659.479994572,10.183179037206084,0.0075761840976319,1,,,,,,
2459659.4816460763,10.187679569706663,0.0049461166847422,1,,,,,,
2459659.483309421,10.17852915869076,0.0063026077224867,1,,,,,,
2459659.487496574,10.15908110435204,0.006735814215723,1,,,,,,
2459659.4890935877,10.135816152657409,0.0064589191642568,1,,,,,,
2459659.4906554744,10.13653145500832,0.0039904504883357,1,,,,,,
2459659.4922601623,10.130075308126806,0.0053827300495665,1,,,,,,
2459659.493812095,10.136555419071556,0.0055364180916175,1,,,,,,
2459659.4953866666,10.117858067872811,0.0040022469861482,1,,,,,,
2459659.496972824,10.103679488001418,0.0047520358478787,1,,,,,,
2459659.4985482986,10.10699967923637,0.0049564263838068,1,,,,,,
2459659.5001100115,10.102253917345545,0.0053128861214112,1,,,,,,
2459659.5017049536,10.086421527175522,0.0078586247404555,1,,,,,,
2459659.5032937964,10.080904852878296,0.0046672691015998,1,,,,,,
2459659.504838808,10.071164481737778,0.0069250443824089,1,,,,,,
2459661.376873102,10.053212956340694,0.0194783239944203,2,,,,,,
2459661.3791685533,10.036989883986037,0.0181188994607171,2,,,,,,
2459661.3811771297,10.01434089512892,0.0209198071666358,2,,,,,,
2459661.3832126968,10.03116673672056,0.0109946088120814,2,,,,,,
2459661.3852395485,10.012699090889951,0.0213553711851805,2,,,,,,
2459661.3872787734,10.012636730217936,0.0241708375806041,2,,,,,,
2459661.38921434,10.00012574445848,0.0122760161658998,2,,,,,,
2459661.3912358335,9.991912276009687,0.0193885060945471,2,,,,,,
2459661.393226655,9.98443994419762,0.021312713599183,2,,,,,,
2459661.3952266783,9.98655258467642,0.0284838810770062,2,,,,,,
2459661.3971546413,9.964855825874452,0.0185668399622261,2,,,,,,
2459661.399161551,9.954446597569062,0.009167119582734,2,,,,,,
2459661.4012009376,9.95346619445414,0.0293697717717231,2,,,,,,
2459661.4031529743,9.939762874757792,0.0054321565780659,2,,,,,,
2459661.40517088,9.93012636576925,0.01107870601038,2,,,,,,
2459661.4071614468,9.917717664082224,0.0138265182585242,2,,,,,,
2459661.409204051,9.915880799324473,0.0121413955030837,2,,,,,,
2459661.411190185,9.905130102383776,0.0339110161422843,2,,,,,,
2459661.413164039,9.903160836207238,0.0338404345995919,2,,,,,,
2459661.415186956,9.901064041475468,0.0140823390925117,2,,,,,,
2459661.4172427314,9.89760367688014,0.0177460861378627,2,,,,,,
2459661.41921066,9.86645393123576,0.0203452912090789,2,,,,,,
2459661.4212582754,9.87014210239623,0.0332158809293577,2,,,,,,
2459661.4232250694,9.86202583055173,0.018251186368436,2,,,,,,
2459661.425202755,9.84865880205881,0.0251037857067811,2,,,,,,
2459661.427221227,9.840555789475596,0.0434432921697596,2,,,,,,
2459661.429206852,9.850076023928732,0.0425878229248795,2,,,,,,
2459661.4312061113,9.839241640540624,0.0336052245425956,2,,,,,,
2459661.4331056597,9.824896875858803,0.0350940580641523,2,,,,,,
2459661.4351467593,9.819050499572478,0.0077461476089372,2,,,,,,
2459661.4371070834,9.814981861206078,0.0262727747163286,2,,,,,,
2459661.439147072,9.79773348285684,0.0424597810314112,2,,,,,,
2459661.4411752545,9.792457027695155,0.0371089072681411,2,,,,,,
2459661.4431819096,9.790844660279513,0.020538138586592,2,,,,,,
2459661.445367037,9.775387148552618,0.0120267819998922,2,,,,,,
2459661.4473993517,9.78173745809287,0.0134921093629466,2,,,,,,
2459661.45203191,9.757615182168225,0.023008853095248,2,,,,,,
2459661.454335868,9.748648713155909,0.0336203746016601,2,,,,,,
2459661.456514479,9.734669450956542,0.0391911176140917,2,,,,,,
2459661.458700116,9.740709877411346,0.0240592126093842,2,,,,,,
2459661.4608410764,9.727852908101536,0.0368026729332281,2,,,,,,
2459661.462967905,9.714820405443092,0.0217073416758768,2,,,,,,
2459661.465074977,9.702361632079516,0.0348355462621363,2,,,,,,
2459661.4672165164,9.708975228043927,0.0319596379035163,2,,,,,,
2459661.4693540162,9.690538029612764,0.0106396330560658,2,,,,,,
2459661.471488669,9.686824288376725,0.0176908481228878,2,,,,,,
2459661.473601817,9.679694497364926,0.0408040241173357,2,,,,,,
2459661.4758164003,9.677762434799869,0.0285954984183981,2,,,,,,
2459661.4779992825,9.66464329215862,0.0435524517676976,2,,,,,,
2459661.4800966205,9.659520676888464,0.0144755448133549,2,,,,,,
2459661.4822557988,9.655734005056916,0.0355123134114564,2,,,,,,
2459661.4843409257,9.639375256060186,0.0057255962956186,2,,,,,,
2459661.486445926,9.63978823848043,0.0055893031234035,2,,,,,,
2459661.4885526043,9.643625960158598,0.0053846176973326,2,,,,,,
2459661.49062147,9.625423436200172,0.0055007799909492,2,,,,,,
2459661.4926557406,9.61109823960403,0.0046285892629618,2,,,,,,
2459661.494714549,9.61740184489605,0.0057118023456496,2,,,,,,
2459661.4967311225,9.608265004324242,0.0048541691167657,2,,,,,,
2459661.498912014,9.592161239234084,0.0062000483221013,2,,,,,,
2459661.501047338,9.596058316697231,0.0043913960727331,2,,,,,,
2459663.36522272,9.607351507420509,0.0389131654649647,3,,,,,,
2459663.3671641205,9.606393663493504,0.0423565783415933,3,,,,,,
2459663.368995868,9.574209570302113,0.0275980597730914,3,,,,,,
2459663.3708712845,9.581873760443562,0.0445920570722741,3,,,,,,
2459663.372840278,9.587860077120125,0.0423726049694228,3,,,,,,
2459663.374813484,9.567605564490826,0.0411503614620262,3,,,,,,
2459663.376794074,9.561251198602372,0.0477542693190928,3,,,,,,
2459663.3786205556,9.56042487931206,0.0287198681833926,3,,,,,,
2459663.380460336,9.55210708215395,0.0337973321272094,3,,,,,,
2459663.3824334373,9.559144942343256,0.0340648483029795,3,,,,,,
2459663.384315243,9.57259460812034,0.0476359586512088,3,,,,,,
2459663.3862719443,9.55135480490102,0.0479681727083566,3,,,,,,
2459663.3882192015,9.545067901530455,0.042966061529193,3,,,,,,
2459663.3901286805,9.522525348487797,0.0593654110969689,3,,,,,,
2459663.392006424,9.52101474340487,0.0586248447567932,3,,,,,,
2459663.3937442363,9.552962411968194,0.0634940617555221,3,,,,,,
2459663.3955127313,9.523260068056915,0.0465317807756145,3,,,,,,
2459663.3973193984,9.519217183583503,0.0515298823914669,3,,,,,,
2459663.3991737035,9.513117880350933,0.0541356677413892,3,,,,,,
2459663.40095544,9.50713132032788,0.0497210709682421,3,,,,,,
2459663.4027430904,9.50168026912039,0.0602622058596769,3,,,,,,
2459663.4045948726,9.49594180051617,0.0506865012698052,3,,,,,,
2459663.4064249536,9.496176153024145,0.0640137877392297,3,,,,,,
2459663.4081745255,9.496847418970882,0.0065882608959446,3,,,,,,
2459663.4112827084,9.479572899382822,0.0474822822029444,3,,,,,,
2459663.4130694675,9.493606220031616,0.0662098228633811,3,,,,,,
2459663.4148725118,9.48089283124673,0.0511654170304498,3,,,,,,
2459663.4166930555,9.481552294070246,0.0633080289393109,3,,,,,,
2459663.4184486573,9.483952163921018,0.0599002942151125,3,,,,,,
2459663.4203721643,9.478633151991646,0.0602702966872029,3,,,,,,
2459663.422259329,9.46167424132632,0.0726437378123627,3,,,,,,
2459663.424019201,9.470989685292931,0.0677648800868904,3,,,,,,
2459663.4258308103,9.47322445215119,0.0768466248829155,3,,,,,,
2459663.4276546296,9.466660371723483,0.0695107628899413,3,,,,,,
2459663.4295628355,9.456950845611631,0.0514748296945372,3,,,,,,
2459663.431390139,9.457964801532531,0.0581396291912242,3,,,,,,
2459663.43323059,9.452907156662135,0.0601527871245143,3,,,,,,
2459663.435072882,9.46488364467979,0.0642009706325966,3,,,,,,
2459663.436859456,9.463397374373086,0.0766111103648719,3,,,,,,
2459663.4386524535,9.46120799539911,0.0683757261766806,3,,,,,,
2459663.4404493636,9.447589541169204,0.0698517912098401,3,,,,,,
