#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
60,RZ CEP,000-BDC-590,2458773.264444,9.668,0.0123,False,Johnson V,CCD,SJTS,,
61,RZ CEP,000-BDC-590,2458773.264583,9.6494,0.0124,False,Johnson V,CCD,SJTS,,
62,RZ CEP,000-BDC-590,2458773.264711,9.6596,0.0123,False,Johnson V,CCD,SJTS,,
63,RZ CEP,000-BDC-590,2458773.264838,9.6835,0.0123,False,Johnson V,CCD,SJTS,,
64,RZ CEP,000-BDC-590,2458773.264977,9.6387,0.0123,False,Johnson V,CCD,SJTS,,
65,RZ CEP,000-BDC-590,2458773.265116,9.6675,0.0123,False,Johnson V,CCD,SJTS,,
66,RZ CEP,000-BDC-590,2458773.265255,9.6693,0.0123,False,Johnson V,CCD,SJTS,,
67,RZ CEP,000-BDC-590,2458773.265394,9.6696,0.0123,False,Johnson V,CCD,SJTS,,
68,RZ CEP,000-BDC-590,2458773.265671,9.6435,0.0122,False,Johnson V,CCD,SJTS,,
69,RZ CEP,000-BDC-590,2458773.26581,9.6454,0.0123,False,Johnson V,CCD,SJTS,,
70,RZ CEP,000-BDC-590,2458773.265938,9.6384,0.0123,False,Johnson V,CCD,SJTS,,
71,RZ CEP,000-BDC-590,2458773.266076,9.6649,0.0122,False,Johnson V,CCD,SJTS,,
72,RZ CEP,000-BDC-590,2458773.266215,9.6468,0.0122,False,Johnson V,CCD,SJTS,,
73,RZ CEP,000-BDC-590,2458773.266354,9.6633,0.0122,False,Johnson V,CCD,SJTS,,
74,RZ CEP,000-BDC-590,2458773.266493,9.6722,0.0122,False,Johnson V,CCD,SJTS,,
75,RZ CEP,000-BDC-590,2458773.266632,9.6523,0.0121,False,Johnson V,CCD,SJTS,,
76,RZ CEP,000-BDC-590,2458773.266771,9.6569,0.0122,False,Johnson V,CCD,SJTS,,
77,RZ CEP,000-BDC-590,2458773.266898,9.619,0.0123,False,Johnson V,CCD,SJTS,,
78,RZ CEP,000-BDC-590,2458773.267037,9.6467,0.0121,False,Johnson V,CCD,SJTS,,
79,RZ CEP,000-BDC-590,2458773.267176,9.6488,0.0121,False,Johnson V,CCD,SJTS,,
80,RZ CEP,000-BDC-590,2458773.267315,9.643,0.0122,False,Johnson V,CCD,SJTS,,
81,RZ CEP,000-BDC-590,2458773.267454,9.6523,0.0122,False,Johnson V,CCD,SJTS,,
