main_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,best_classification,period
2054159819759156992,303.1734021381525,32.21175716696876,11.221099,11.537067,10.646635,RRc,0.37118153560485395
2254366868398077312,287.4276346772123,64.85894275762925,10.297423,10.579582,9.898811,RRab,0.4764937351253997
2052128918706818944,294.96256956833133,38.352162306691675,10.8595495,11.006538,10.557991,RRc,0.29724100151778027
1956531880222667904,332.5323462392088,40.9195797407889,10.19933,10.466934,9.772507,RRc,0.25369533390091437
3846786226007324160,148.36825020205413,2.0572132624004045,10.031117,10.197908,9.725817,RRc,0.32468140885434005
1167409941124817664,228.5036582022056,9.980884656997535,11.085834,11.224652,10.783356,RRc,0.3408057250369827
1944108945011315200,358.8369991175294,51.450830749228764,11.555809,11.731066,11.241743,RRc,0.25664270462504796
3797319369672686592,173.47694370623447,-0.033455445707471464,11.085033,11.240917,10.642088,RRab,0.6263375722746239
3406613410300235904,74.20019259407874,18.30438604200066,11.540215,11.881378,10.995632,RRc,0.2368638108123938
4454183799545435008,238.91819856710862,7.988740498023956,11.459988,11.64029,11.016839,RRab,0.7465868783532106
4606912286835400704,272.3402779553232,36.75454830586149,11.886106,11.993254,11.63766,RRc,0.270260168590584
1842509530824560128,312.4410731907855,24.21250029582219,11.621008,11.810314,11.243786,RRc,0.33603523600418667
5759634298798649472,137.2503154879466,-4.173519843580899,10.885865,11.026864,10.621471,RRc,0.3032582054826093
5762119706177715840,131.9453364468497,-3.6501312345587227,10.728994,10.945089,10.382029,RRd,0.9846764360240152
2093443102473433728,281.92158152806485,35.990704766666425,11.74974,11.964021,11.268914,RRab,0.5252660464447226
1234729400256865664,221.89682755986456,16.845262636003405,10.61196,10.761253,10.299786,RRc,0.31489052015984603
1247621002294070784,205.1907126243993,17.81982808253239,11.158917,11.3794365,10.741601,RRab,0.807891942277632
1254547100915110144,216.10676413706378,23.053927978356874,9.977716,10.2457,9.538533,RRab,0.6986340258887485
4000636867992972544,177.90447690098202,21.878083893939372,11.691726,11.8969755,11.30472,RRab,0.5471796325959265
4022618712476736896,172.45168404781427,30.06709016697379,9.799874,10.049275,9.417738,RRab,0.5576689928598967
4221926433630729600,300.1676674167872,-3.538592571483328,11.465076,11.902868,10.826728,RRc,0.3135457816023621
234108363683247616,64.32162470113738,47.40013428064863,10.364657,10.786019,9.765726,RRab,0.4255516493347717
4229920123678447232,308.1316215111318,0.5851685545368216,10.93093,11.134269,10.510477,RRab,0.5780281885506628
476292459874275840,62.41815715976355,62.453134054029725,11.167018,11.640533,10.451909,RRab,0.5720236919712212
1763546217786291840,313.9319564551502,15.99782796186747,11.654191,11.81807,11.345417,RRc,0.3331990455354755
1191510003353849472,238.3793895897626,12.961102171852746,11.03285,11.229733,10.569268,RRab,0.52206597378109
1193137104465445888,239.41337930950905,16.000215078963343,11.609994,11.759099,11.298088,RRc,0.392640250802228
1199539152654966272,240.51578046318485,17.480695954481714,10.8938265,11.000836,10.643771,RRc,0.2308068536262672
4596935593202765184,268.6300211117485,30.410455747424773,11.392736,11.572317,10.94503,RRab,0.3996087130764891
3322506337055869568,91.59621037777616,8.063564682362726,11.142057,11.483981,10.615145,RRab,0.33215467935931786
2131968508140833920,285.2448560115851,48.74502101757376,11.711011,11.943745,11.300306,RRab,0.6132265815440289
3111925220109675136,109.3298613269804,1.7277926287510361,11.617953,11.84423,11.122694,RRab,0.47632094364211885
1760981190300823808,311.8682087393055,12.464109957049851,9.91366,10.2110615,9.484178,RRab,0.47261686326070906
289662047665943552,20.218168637099264,21.728673892629047,10.923201,11.097835,10.609579,RRc,0.2877866944737817
294072906063827072,18.60894956104664,24.415476194122157,10.129585,10.3131695,9.779341,RRab,0.39031598074070617
4440428565486282624,247.39198892639124,8.6336138611097,11.846054,11.965602,11.590791,RRc,0.26697951990557733
975895390891334656,113.38223792903034,47.802758721120604,11.403747,11.58076,11.025668,RRc,0.24065163799650832
2725690802725474560,330.4027312627884,9.982649884473211,11.57315,11.695272,11.308499,RRc,0.293072570690061
524535426630702464,12.971012163090055,65.1805549576267,10.103055,10.523391,9.519914,RRab,0.4233225069579708
