transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
16731453824865861,1699.4270900224096,1492138.3011580312,3169.978196289113,470.7093200683594,10.252844171402042,1699.4273854029454,886478.1474771696,653.2178382526401,1357.09423828125,10.469372130047192,1699.4274704187915,877902.3108696399,510.2317118034319,1720.5953369140625,9.889280020645222,False,False,False,4097,0,0,False
16741194596243188,1699.6032847686647,2015001.3257197442,2547.899808354829,790.8479614257812,9.926678526529539,1699.6035689869923,1289532.6108879717,1310.4372085666657,984.047607421875,10.062461392168556,1699.6036569798564,1102533.4023131845,820.6284812447294,1343.523193359375,9.641916111880791,False,False,False,4101,0,0,False
23554020990400278,1822.808181907787,1482090.3320229042,1619.7206106766043,915.0283813476562,10.26018018132193,1822.808490233832,885296.0008503611,802.0312310222826,1103.8173828125,10.470820959835942,1822.8085768009548,871351.2975354034,702.4080866788596,1240.52001953125,9.897412295546168,False,False,False,4097,0,0,False
23558113269683439,1822.8821841544027,1892309.7694123131,1623.7570670861703,1165.3896484375,9.99488628829903,1822.8824904698588,1194734.8732527632,941.6187035467311,1268.8095703125,10.14536336442437,1822.8825755960627,1041357.5745107294,777.5833019986122,1339.22314453125,9.703895800403885,False,False,False,4097,0,0,False
25018801108824333,1849.2954276800085,1452162.1716443468,2513.8179186296297,577.6719970703125,10.282329068711805,1849.2957365451932,848829.2690607489,950.8353474278891,892.7195434570312,10.516491349908438,1849.2958237065186,863709.0063420021,757.2463193235416,1140.5919189453125,9.906976880566434,False,False,False,4097,0,0,False
26335979900040091,1873.113742291733,1452154.5564506047,3984.532298562301,364.44793701171875,10.282334762368746,1873.1140367907008,856022.9738258533,550.9126441105739,1553.8270263671875,10.507328664875857,1873.1141399778014,855489.9549721417,668.0881831185928,1280.5045166015625,9.917358214929932,False,False,False,4097,0,0,False
33618133252849706,2004.8086550847133,2073486.7708610035,3757.755264562469,551.7886962890625,9.895613694934012,,,,,,,,,,,False,True,True,6295937,8389632,16779264,False
36552154596939071,2057.8738507421667,2045582.0095448652,30972.671876077984,66.04473876953125,9.910324628285,2057.8741590962113,1309026.2332749015,917.3429306933165,1426.975830078125,10.046171340726186,2057.8742442446337,1115064.66320175,796.1799110441852,1400.5184326171875,9.629645368439892,False,False,False,4097,0,0,False
36561895394797446,2058.050021526737,1500418.8390476916,2582.9408570979854,580.8955688476562,10.246835595922366,2058.050316225172,885536.596344237,553.3215914855007,1600.4012451171875,10.470525931112816,2058.0504186717044,882091.1053020215,699.6209638435676,1260.8128662109375,9.884111894088727,False,False,False,4097,0,0,False
46023762670167688,2229.1580963013175,1985426.1365801783,3341.638989157408,594.1473999023438,9.942732530235936,2229.1584097488058,1261007.448159389,1767.5683168482544,713.4136962890625,10.086748086428639,2229.1584956011347,1086543.4312435964,1608.6772884004097,675.4265747070312,9.657777774668695,False,False,True,4097,0,0,False
46033503486894633,2229.334234777565,1601800.366417636,1299.6984498227887,1232.4400634765625,10.175845895371875,2229.3345419556654,965800.9428679254,820.9762488677521,1176.405517578125,10.376323153180795,2229.3346308306477,937862.5684963673,707.8956198025511,1324.8599853515625,9.817547494003716,False,False,False,4097,0,0,False
47042855028667260,2247.586313754175,2021478.0669765116,963.2250030273375,2098.65625,9.923194283047994,2247.5866197181026,1282289.938475023,918.0538712965512,1396.748046875,10.06857662935568,2247.5867066323085,1111520.692009159,782.7696112529585,1419.9844970703125,9.633101621372441,False,False,False,1,0,0,False
47046947339941765,2247.6603149339794,1692633.44175417,2630.262139982207,643.522705078125,10.115959574352411,2247.6606217171625,1022122.7102716402,848.3725236181727,1204.8040771484375,10.314784621127702,2247.660708239038,972595.3648973628,756.3366276033098,1285.92919921875,9.77806501236042,False,False,False,4097,0,0,False
54412132415185102,2380.8585905095706,1469985.557545662,957.1012786034613,1535.87255859375,10.269084197377381,2380.858899195874,880613.1733229613,1071.3001005620108,822.0042114257812,10.476579271055115,2380.85898566264,861165.8629186151,741.7252547643503,1161.03076171875,9.910178486594397,False,False,False,4097,0,0,False
54416224696858360,2380.9326073609377,1856270.6862768536,2944.4057070051263,630.4398193359375,10.015763600892829,2380.932912518889,1163425.3078354343,877.617729488694,1325.6629638671875,10.174195949009947,2380.9330016318913,1024737.0149351057,738.1243129125504,1388.2987060546875,9.721364441618787,False,False,False,12289,0,0,False
