JD,mag_L,err_L,mag_R,err_R,mag_G,err_G,mag_B,err_B
2460328.3635434606,10.613636945495236,0.0053800572220091,,,,,,
2460328.3647317477,10.60118596452456,0.0052850220224969,,,,,,
2460328.3659569905,10.599541275519186,0.0044336795150397,,,,,,
2460328.367176713,10.580795360560405,0.004939930374456,,,,,,
2460328.36839037,10.599271941577172,0.0055917063871947,,,,,,
2460328.3696314236,10.578131575853662,0.0040565265189177,,,,,,
2460328.370871991,10.586967109545611,0.0041346583026523,,,,,,
2460328.3720931946,10.582144692635158,0.0056505016263993,,,,,,
2460328.373321632,10.561063918593106,0.0044531320723188,,,,,,
2460328.3745571645,10.571217557118924,0.0059196915190396,,,,,,
2460328.375802257,10.554739011247708,0.0074311325535536,,,,,,
2460328.3770256597,10.54961552495981,0.0046658353896572,,,,,,
2460328.380096088,10.537316141304576,0.0060223113902741,,,,,,
2460328.3812185763,10.54649404995309,0.0059371429675401,,,,,,
2460328.382362662,10.551849471929192,0.0047201821707308,,,,,,
2460328.383490613,10.548531344066856,0.0053455320752731,,,,,,
2460328.384629641,10.536492236952196,0.0055340690195407,,,,,,
2460328.385760243,10.550097814416366,0.0051517648707058,,,,,,
2460328.3960345024,10.526261143727844,0.0038297432852315,,,,,,
2460328.397552535,10.538894095922752,0.0049258689795975,,,,,,
2460328.3986792476,10.520909991086471,0.0071606144713012,,,,,,
2460328.399812743,10.541597968381629,0.0070856632525006,,,,,,
2460328.4009266202,10.53336443115666,0.0044332175798901,,,,,,
2460328.402064792,10.537481141567726,0.0058291987745428,,,,,,
2460328.405060602,10.550521028317812,0.0040582779204076,,,,,,
2460328.4079648843,10.538795414040534,0.0052961653225618,,,,,,
2460328.4108126503,10.54140609732418,0.0060168322990668,,,,,,
2460328.413902222,10.553183262401662,0.0060778948545491,,,,,,
2460328.4164701854,10.542230493747873,0.0056071332226331,,,,,,
2460328.4196355785,10.549060480387078,0.0048926713235134,,,,,,
2460328.422331065,10.545453292268762,0.0049954703703785,,,,,,
2460328.4253407987,10.549817788108443,0.0044371488552908,,,,,,
2460328.427948102,10.565341896159946,0.0052453780394949,,,,,,
2460328.4310016665,10.55677746083088,0.004845766360111,,,,,,
2460328.4343224885,10.567246304517672,0.0056029052768185,,,,,,
