JD,mag_L,err_L,mag_R,err_R,mag_G,err_G,mag_B,err_B
2460317.30431338,10.536191383562247,0.0042826435311663,,,,,,
2460317.3055320256,10.535007005027952,0.0062546435063136,,,,,,
2460317.30677537,10.541416004856703,0.0037470670448784,,,,,,
2460317.308008831,10.527195229308088,0.0041983784113188,,,,,,
2460317.3092401274,10.538283692393684,0.0046454973044391,,,,,,
2460317.3104685415,10.54803275865594,0.0053061573650975,,,,,,
2460317.311689618,10.543344456152996,0.0038765992750756,,,,,,
2460317.312908449,10.550009402486218,0.0037401548393359,,,,,,
2460317.314139583,10.559072949136551,0.0059091963222072,,,,,,
2460317.3218000345,10.56153945998647,0.0053220845411252,,,,,,
2460317.3230450577,10.574730456184383,0.0046670402100066,,,,,,
2460317.324298993,10.564239635139431,0.0051265350093494,,,,,,
2460317.325554595,10.577155782801146,0.0049020133447782,,,,,,
2460317.326808762,10.594579257506169,0.0054797463985304,,,,,,
2460317.3280604975,10.59594480440722,0.0057692768983291,,,,,,
2460317.3292994443,10.585376698477528,0.0061756837602477,,,,,,
2460317.333167604,10.610436294950096,0.0064500447495292,,,,,,
2460317.335716736,10.613278981689485,0.0080288736207176,,,,,,
2460317.3369340855,10.60695342203676,0.0084729561100396,,,,,,
2460328.3635434606,10.613636945495236,0.0053800572220091,,,,,,
2460328.3647317477,10.60118596452456,0.0052850220224969,,,,,,
2460328.3659569905,10.599541275519186,0.0044336795150397,,,,,,
2460328.367176713,10.580795360560405,0.004939930374456,,,,,,
2460328.36839037,10.599271941577172,0.0055917063871947,,,,,,
2460328.3696314236,10.578131575853662,0.0040565265189177,,,,,,
2460328.370871991,10.586967109545611,0.0041346583026523,,,,,,
2460328.3720931946,10.582144692635158,0.0056505016263993,,,,,,
2460328.373321632,10.561063918593106,0.0044531320723188,,,,,,
2460328.3745571645,10.571217557118924,0.0059196915190396,,,,,,
2460328.375802257,10.554739011247708,0.0074311325535536,,,,,,
2460328.3770256597,10.54961552495981,0.0046658353896572,,,,,,
2460328.380096088,10.537316141304576,0.0060223113902741,,,,,,
2460328.3812185763,10.54649404995309,0.0059371429675401,,,,,,
2460328.382362662,10.551849471929192,0.0047201821707308,,,,,,
2460328.383490613,10.548531344066856,0.0053455320752731,,,,,,
2460328.384629641,10.536492236952196,0.0055340690195407,,,,,,
2460328.385760243,10.550097814416366,0.0051517648707058,,,,,,
2460328.3960345024,10.526261143727844,0.0038297432852315,,,,,,
2460328.397552535,10.538894095922752,0.0049258689795975,,,,,,
2460328.3986792476,10.520909991086471,0.0071606144713012,,,,,,
2460328.399812743,10.541597968381629,0.0070856632525006,,,,,,
2460328.4009266202,10.53336443115666,0.0044332175798901,,,,,,
2460328.402064792,10.537481141567726,0.0058291987745428,,,,,,
2460328.405060602,10.550521028317812,0.0040582779204076,,,,,,
2460328.4079648843,10.538795414040534,0.0052961653225618,,,,,,
2460328.4108126503,10.54140609732418,0.0060168322990668,,,,,,
2460328.413902222,10.553183262401662,0.0060778948545491,,,,,,
2460328.4164701854,10.542230493747873,0.0056071332226331,,,,,,
2460328.4196355785,10.549060480387078,0.0048926713235134,,,,,,
2460328.422331065,10.545453292268762,0.0049954703703785,,,,,,
2460328.4253407987,10.549817788108443,0.0044371488552908,,,,,,
2460328.427948102,10.565341896159946,0.0052453780394949,,,,,,
2460328.4310016665,10.55677746083088,0.004845766360111,,,,,,
2460328.4343224885,10.567246304517672,0.0056029052768185,,,,,,
2460328.4371450115,10.580459319580529,0.0045887582524632,,,,,,
2460328.4397380324,10.593849103485816,0.0046075789999583,,,,,,
2460328.4430281366,10.588036378115753,0.004953481378393,,,,,,
2460328.4475446297,10.62188833623366,0.0048230703685529,,,,,,
2460328.4504383216,10.62949296359924,0.0051849704444769,,,,,,
2460328.4532595947,10.652853272864588,0.0058210011940639,,,,,,
2460328.456237986,10.660831292463936,0.005850348976634,,,,,,
2460328.4589098147,10.669929125427773,0.005516564879044,,,,,,
2460328.461504757,10.696177195970684,0.0047907049227077,,,,,,
2460328.4643035415,10.710380667931991,0.0069859855040723,,,,,,
2460328.467392535,10.76265486880134,0.0050893115262351,,,,,,
2460328.4697340974,10.770277790390598,0.0053545893409983,,,,,,
2460328.4725911804,10.818991658201448,0.0045139773614118,,,,,,
