transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
16577507605788211,1696.6410297512834,3887864.2787154987,6974.919398861328,557.4063110351562,9.213089127676255,1696.6413428004632,2186520.0814027693,2797.4012801658837,781.62548828125,9.489158539948374,1696.641429491098,2503277.1048080944,2440.206212498017,1025.8465576171875,8.751623182939204,False,False,False,12289,0,0,False
18629860364423282,1733.7578574016152,3159031.9950079136,3680.7762427898174,858.2515869140625,9.43848180578668,,,,,,,,,,,False,True,True,12289,1024,16779264,False
18639601177359570,1733.934009926122,4581696.114278519,2839.6746921576155,1613.4581298828125,9.034801165107968,1733.934322781676,2677992.494892647,2539.9682677356986,1054.3409423828125,9.269018826892456,1733.9344119879993,2799995.022699947,3985.8918605835515,702.4764404296875,8.630002352813257,False,False,False,8193,0,0,False
20889909533222086,1774.6297153061644,4342634.373543015,6107.7059940462905,711.0090942382812,9.092983702950686,1774.630027820994,2533974.212619747,2582.0470875621972,981.3818969726562,9.329036738534981,1774.630113844137,2696593.7135970667,2654.2884096687694,1015.9384765625,8.670856706800866,False,False,False,4097,0,0,False
21861722930712623,1792.204012304534,3475996.032464548,8041.048665223008,432.28143310546875,9.334668686883095,,,,,,,,,,,False,True,True,6296449,8389632,16779264,False
21871463747973602,1792.3802325626493,3473437.4727593386,1946.7502633562888,1784.2235107421875,9.33546815378278,1792.380545352603,1909998.3775952796,2087.580607559129,914.9339599609375,9.635959719931684,1792.3806347205216,2265197.8142943843,5062.348876922403,447.4598388671875,8.860130166402554,False,False,True,8193,0,0,False
25397864081699179,1856.1507641526766,4542307.700948657,4365.284920053126,1040.5523681640625,9.044175490883415,1856.151076937736,2638111.462110397,2779.8584580965958,949.00927734375,9.285309363665391,1856.151164066634,2793550.046149366,2541.9651287303213,1098.97265625,8.632504360892323,False,False,False,4097,0,0,False
27079637078665069,1886.5635211387696,3213169.4785661297,2036.0291257031563,1578.1549072265625,9.42003278452994,,,,,,,,,,,False,True,True,1,8389632,16779264,False
27083729362927995,1886.6374966770381,3069628.663611758,2756.334311893703,1113.6634521484375,9.469652263133316,1886.637837944294,1659726.0797562422,2253.2296728145498,736.5986938476562,9.788451170195078,1886.6379257163107,2065447.7756760677,2148.854880334142,961.185302734375,8.96035995509104,False,False,False,4198401,0,0,False
29290553038222836,1926.5459279156123,4570486.686439983,7541.170674120327,606.0712280273438,9.037460746541061,1926.546241909912,2663153.0689815884,2535.9647628197986,1050.15380859375,9.275051893481937,1926.546319887026,2811255.205632936,1289.9390000521453,2179.37060546875,8.625644819573594,True,False,False,4097,0,0,False
29294645326308450,1926.619934959756,3974908.621175407,3197.0940298793093,1243.2879638671875,9.189048994181558,1926.620247894799,2243452.4294390716,2690.6427610111823,833.7979736328125,9.461250053022582,1926.6203366536768,2542113.287904867,2504.823294501632,1014.8872680664062,8.734908249284288,True,False,False,12289,0,0,False
30769844086264690,1953.2982304807026,2982272.3045814764,2568.7521914933054,1160.98095703125,9.500998628604254,1953.2985435450566,1593770.8163633465,2048.3711145952047,778.0674438476562,9.832477540375592,1953.2986317772247,2026041.7720055135,2210.8723630212558,916.3992309570312,8.98127451314917,False,False,False,1,0,0,False
30773936371187805,1953.3722230135988,4423101.377562356,6691.47111938048,661.0057983398438,9.073049633253234,1953.372551490904,2566326.754180479,3206.429460063686,800.3690185546875,9.31526233696377,1953.3726393613229,2725993.4500301825,2612.4026012379354,1043.4813232421875,8.659083481193,False,False,False,4272137,0,0,False
32971072380114053,1993.1073644481241,2989436.6714927116,5599.115423663083,533.9122924804688,9.498393472759304,1993.1076787190157,1586869.342905402,1944.639331729895,816.0224609375,9.837189290830892,1993.1077552101667,2035940.2424341533,1090.1687785052966,1867.5458984375,8.975982934333164,False,False,False,12289,0,0,False
32980813213230638,1993.2835297202926,4180785.7069438198,2711.1238501225353,1542.0858154296875,9.134222097950474,1993.2838426321923,2392131.670133465,2225.382881963239,1074.930419921875,9.391579513670196,1993.2839312544108,2625888.4278274337,2390.5907067052053,1098.4266357421875,8.699704827966986,False,False,False,12289,0,0,False
34818609766601240,2026.520551038492,3674892.3163062735,5387.6498270561815,682.0956420898438,9.274255322871824,2026.5208657447888,2064801.7298184666,2173.973301012947,949.782470703125,9.551346327365824,2026.5209424907653,2374360.469896914,1175.5209987568078,2019.836669921875,8.809028868143397,False,False,False,4097,0,0,False
36311194141603512,2053.51437422914,3824222.4126354815,2441.850217650664,1566.11669921875,9.231009010966858,2053.5146875599485,2113633.951297446,2239.5348264767194,943.7825927734375,9.525967774803007,2053.5147742124404,2468874.898144915,2359.376264350202,1046.4100341796875,8.76664779092772,False,False,False,1,0,0,False
36315286432183315,2053.588384307268,3064265.6131806746,2578.9716298520757,1188.1734619140625,9.471550848026364,2053.5886971728874,1638047.7997305528,1855.2438898620883,882.9285278320312,9.802725789000295,2053.5887864559636,2082257.8864747991,2074.270310898716,1003.8507690429688,8.95155921206898,False,False,False,4097,0,0,False
38493028493714953,2092.973028205931,4470912.211779263,5142.264017569066,869.4443359375,9.061376511058143,2092.973341963298,2585293.4379277434,4781.019672408625,540.7410278320312,9.307267606177845,2092.9734305701213,2624823.4338902785,4980.729795363044,526.9957275390625,8.700145264434166,False,False,False,1,0,0,False
39460809704493781,2110.475112067868,3291635.9745825958,2114.1814520848184,1556.931640625,9.393837366752717,2110.475425076381,1802575.2547176173,1981.2280116037034,909.8272705078125,9.698808703572091,2110.4755133775834,2180313.4010415054,2159.850519887013,1009.4741821289062,8.901598190812523,False,False,False,1,0,0,False
41697314279397254,2150.920827973813,3387220.3287081276,5186.3045163437,653.108642578125,9.362758249203988,,,,,,,,,,,False,True,True,4097,8389632,16779264,False
42747907261093366,2169.9197239862183,3581794.0399221345,2266.2837237948365,1580.47021484375,9.302115343407724,2169.9200159348966,1975427.6280017102,2148.210477991835,919.5689086914062,9.59938940718411,2169.9200952629553,2355097.3024494443,1153.7442956850136,2041.2645263671875,8.817873363634707,False,False,False,5,0,0,False
44722798173622407,2205.63309445013,4653525.051308892,4888.349923850062,951.9623413085938,9.01791172657687,2205.633407836566,2713136.7954527484,2809.0630980873016,965.8511352539062,9.254862987555871,2205.633493477144,2844749.623917364,2847.2652728532094,999.116455078125,8.6127853794553,False,False,False,12289,0,0,False
46343587717493235,2234.942922501776,4515451.72428226,3835.6754662737367,1177.224609375,9.050613858311152,2234.9432350985912,2626678.4143212135,2433.319685893842,1079.462890625,9.290024952974743,2234.9433221786894,2783669.5261866646,2440.800979790361,1140.4737548828125,8.63635131342097,False,False,False,12289,0,0,False
